lagoslakeid,lake_nhdid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
32461,133098781,NA,3.882,3.882,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15490798
83450,131846357,NA,28.351,4.183,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512274
78187,131845625,2.091,7.497,2.091,1,1,1,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512152
94863,133099190,NA,NA,5.516,0,0,0,1,29,736,162.652,51.934,42.741,32387,10,NA,NA,0,N,N,126,15490982
10526,131842101,NA,1.639,1.639,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15511846
97965,133098922,NA,0.147,0.147,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15490890
32452,133099227,2.589,NA,2.589,3,0,3,4,29,736,162.652,51.934,56.611,32387,10,NA,NA,0,N,N,126,166766880
19832,133099003,NA,2.855,2.855,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15490908
26242,131846776,NA,20.951,6.587,0,1,2,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15516876
58501,131842186,NA,2.096,2.096,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15511876
138947,133099298,0.48,NA,0.48,1,0,1,3,29,736,162.652,51.934,61.602,32387,10,NA,NA,0,N,N,126,15494488
29284,131846577,NA,0.232,0.232,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15510176
29275,132859001,NA,67.39,3.537,0,1,1,1,29,736,162.652,51.934,45.403,32371,3,NA,NA,0,N,N,126,15476403
95862,131841500,NA,0.471,0.471,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509536
131790,131846593,NA,34.91,6.845,0,1,1,1,29,736,162.652,51.934,0,32397,1,NA,NA,0,N,N,126,15510202
71874,131841394,3.022,0.73,0.73,1,1,1,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509502
40854,131841247,NA,3.022,3.022,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509480
121716,133098846,NA,5.881,5.881,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15489440
67843,131843564,NA,0.499,0.499,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509742
49190,131841092,NA,3.293,3.293,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15508366
69882,131845836,NA,NA,11.137,0,0,1,1,29,736,162.652,51.934,64.517,33366,14,NA,NA,0,N,N,126,15510040
108137,132436448,NA,0.135,0.135,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466407
138963,131844242,NA,0.97,0.97,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509828
41967,133098530,0.454,6.675,0.454,1,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15489384
14639,131845007,NA,NA,6.444,0,0,0,1,29,736,162.652,51.934,68.586,33366,14,NA,NA,0,N,N,126,15509940
123799,131844990,6.753,NA,6.753,1,0,2,2,29,736,162.652,51.934,70.328,33366,14,NA,NA,0,N,N,126,15509934
41975,132436012,1.328,1.992,1.328,1,1,1,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466429
37660,132436714,NA,4.031,4.031,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15468295
17689,135271596,NA,NA,4.67,0,0,0,1,207,83,95.804,29.386,54.875,32353,2,NA,NA,0,N,N,8,15457400
119583,166754442,NA,1.703,1.703,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466069
119574,132434585,NA,2.073,2.073,0,1,1,1,29,736,162.652,51.934,0,32866,1,NA,NA,0,N,N,126,15466103
20890,129691032,1.25,1.436,1.25,1,1,1,2,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523491
37691,129690990,0.912,0.199,0.199,1,1,1,2,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523425
100970,129690953,NA,1.53,1.53,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523379
11570,129691004,NA,1.059,1.059,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523465
140009,132435247,0.586,0.678,0.586,1,1,2,3,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466287
