lagoslakeid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
76211,Glaciated,46.46249041,-93.756266,70101040205,66.41376,13.99296
660,Glaciated,46.48299076,-93.74345297,70101040205,193.6506,1.275593
95010,Glaciated,46.50230417,-93.75171055,70101040403,28.66432,1.375072
121869,Glaciated,44.9381796,-93.73281965,70102050704,498.0759,2.472141
485,Glaciated,45.14202764,-93.73892051,70102040701,138.4597,3.473625
10732,Glaciated,47.34283201,-93.72418305,70101010908,399.4169,11.47318
135698,Glaciated,44.84991683,-93.71699713,70102060601,181.7768,10.95367
139847,Glaciated,47.23540692,-93.70454122,70101010909,576.7,10.07217
130539,Glaciated,47.41632496,-93.69079985,70101010802,408.39,5.562681
57640,Glaciated,47.46129355,-93.70162272,70101010802,123.5779,8.121792
60740,Glaciated,44.84136065,-93.67437613,70102060601,371.9472,5.631254
135755,Glaciated,46.50150182,-93.67511858,70101040205,436.0366,72.9878
2921,Glaciated,47.47296939,-93.65723332,70101030205,121.8481,16.90645
19981,Glaciated,45.02905047,-93.62681227,70102050703,119.8391,9.655731
37848,Glaciated,47.04158701,-93.59860835,70101030702,930.3606,49.0196
4047,Glaciated,47.28654478,-93.60059892,70101010908,225.808,3.536346
123989,Glaciated,44.99448416,-93.57777875,70102060604,62.25104,16.07059
128463,Glaciated,47.4244518,-93.57516097,70101030205,50.55744,1.316169
113430,Glaciated,47.43757427,-93.57785815,70101030205,257.621,6.816428
3422,Glaciated,47.42144128,-93.55266466,70101030205,311.6563,2.124627
122900,Glaciated,47.4631894,-93.56596901,70101030205,59.05267,11.03174
2754,Glaciated,45.48624565,-93.51910366,70102070502,43.09326,1.797294
76244,Glaciated,47.37364957,-93.52883734,70101030206,106.119,4.931807
131627,Glaciated,47.45540458,-93.51990634,70101030205,21.16297,3.262348
1890,Glaciated,47.49240218,-93.50563604,70101030201,197.0488,2.523639
119753,Glaciated,44.97985142,-93.49300291,70102060604,1116.131,21.97293
33615,Glaciated,47.27621689,-93.49946315,70101030207,23.65356,0.8236963
226,Glaciated,47.53916778,-93.49441356,70101030201,22.17125,2.056926
38846,Glaciated,44.9935062,-93.4718502,70102060501,223.079,5.915486
88914,Glaciated,46.64796063,-93.4514236,70101030602,48.01613,3.524411
101179,Glaciated,47.59178079,-93.45751083,70101030201,67.15802,2.906077
33659,Glaciated,45.03056926,-93.41559697,70102060502,18.73585,2.403835
85689,Glaciated,45.17212654,-93.40618838,70102060702,268.2279,11.09199
30540,Glaciated,47.41315041,-93.37856241,70101030203,1529.794,25.43614
114488,Glaciated,47.44723319,-93.3431893,70101030202,136.8583,2.641384
515,Glaciated,45.50575004,-93.33067616,70102070702,2433.101,23.46299
2952,Glaciated,44.92182117,-93.30486591,70102060605,457.2074,3.319825
14815,Glaciated,44.96911041,-93.28383902,70102060703,130.0283,43.80698
96047,Glaciated,46.93268819,-93.28036642,70101030901,474.1769,7.018557
61765,Glaciated,47.4640101,-93.28469775,70101030202,3466.472,48.29131
91990,Glaciated,46.56543374,-93.26301253,70101040104,181.8222,7.643492
1764,Glaciated,44.90863792,-93.24213562,70102060605,197.3956,2.423686
763,Glaciated,47.47294959,-93.25082484,70101030202,292.4705,2.850048
3542,Glaciated,44.92091971,-93.2360495,70102060605,2356.27,108.6582
694,Glaciated,45.63498013,-93.23298212,70102070505,7361.101,110.5854
77263,Glaciated,47.39408246,-93.24226511,70101030202,618.5912,24.85231
2604,Glaciated,45.06755156,-93.20844364,70102060306,663.3864,45.93042
2022,Glaciated,45.55364399,-93.19136161,70102070701,675.6569,4.689506
2785,Glaciated,45.13872773,-93.15291489,70102060305,2765.108,123.5316
35683,Glaciated,45.10036114,-93.11912333,70102060801,688590,55011.79
1556,Glaciated,45.16956631,-93.10926117,70102060304,1525.004,19.63323
112516,Glaciated,45.02335449,-93.07806419,70102060801,223.3136,95.63431
1617,Glaciated,45.16337328,-93.07045698,70102060304,192.7897,1.036002
60738,Glaciated,44.82941994,-93.06165027,70102060901,117.548,79.25973
3116,Glaciated,46.6613536,-92.99185197,70101030504,1945.957,20.52658
2939,Glaciated,45.87432908,-95.52715602,70101080105,553.2584,1.068756
103181,Glaciated,45.88736565,-95.48372468,70101080106,436.2252,2.650136
101148,Glaciated,46.4031478,-95.45213919,70101070103,2222.462,13.86129
129473,Glaciated,46.13093762,-95.39627794,70101080101,1816.172,9.423784
305,Glaciated,45.87428538,-95.4035448,70101080108,738.9404,8.643403
3017,Glaciated,45.9185881,-95.3960807,70101080109,256.6802,0.6082346
3573,Glaciated,45.95631761,-95.36976811,70101080109,1456.656,1.378567
1572,Glaciated,45.92947391,-95.34103632,70101080108,682.5537,0.9397662
1451,Glaciated,46.06125856,-95.30750841,70101080102,1849.347,7.118738
4040,Glaciated,47.06772473,-95.26272718,70101060202,456.3237,2.980614
2589,Glaciated,45.42288591,-94.50148083,70102020604,379.8006,2.233197
559,Glaciated,44.69254907,-94.20923508,70102050604,470.911,2.108889
3835,Glaciated,45.27492022,-94.12469657,70102030204,1063.251,4.479308
110401,Glaciated,47.11816277,-95.16500318,70101060204,206.6849,1.393386
51459,Glaciated,47.02085518,-95.09823712,70101060206,517.4398,3.033481
20042,Glaciated,46.85382876,-95.06685719,70101060403,539.0651,13.15278
2190,Glaciated,46.99130887,-94.93218074,70101060503,319.6397,1.935848
82562,Glaciated,46.88094944,-94.91334416,70101060603,799.8207,5.728255
882,Glaciated,47.02755352,-94.82034738,70101060503,135.6483,0.930572
63912,Glaciated,46.89782107,-94.6176972,70101050101,327.0263,5.50236
3955,Glaciated,46.21223498,-94.62825091,70101080601,689.9717,1.481442
2987,Glaciated,46.93985137,-94.54873771,70101020302,1205.902,2.372224
1154,Glaciated,46.97071977,-94.57774401,70101020301,2780.134,1.367271
3364,Glaciated,46.37281104,-94.38625417,70101061007,758.2696,2.119405
116563,Glaciated,46.8537186,-94.31412083,70101050103,290.1893,2.582571
166,Glaciated,45.94496471,-94.24682096,70102010408,64336.13,231.528
3368,Glaciated,46.65324734,-94.20131233,70101050603,170.0047,2.311584
2978,Glaciated,46.50972206,-94.16030882,70101061006,717.8895,0.6877382
74155,Glaciated,47.10565896,-94.1464507,70101020407,11482.73,8.368644
119725,Glaciated,46.68936545,-94.09334168,70101050304,253.1893,2.448703
3771,Glaciated,46.55309243,-94.07319483,70101040501,793.9592,2.292886
76238,Glaciated,46.67606827,-94.03984996,70101050601,137.4404,1.96765
4059,Glaciated,46.36373949,-93.85237794,70101040201,2200.735,2.385982
275864,Glaciated,47.58693688,-94.87169126,70101010403,991.7954,2.878603
47250,Glaciated,47.22702332,-94.74783693,70101020204,1861.576,4.821064
8903,Glaciated,47.40855624,-94.74521877,70101010504,1994.962,5.687691
4166,Glaciated,47.66862412,-94.73899356,70101010406,1575.648,1.728882
53561,Glaciated,47.27872159,-94.60179162,70101020105,320.4521,2.197807
63864,Glaciated,47.4566011,-94.5601507,70101010508,355.4693,2.489614
4094,Glaciated,44.76151263,-92.97111442,70102060903,1041.244,1.720629
13788,Glaciated,46.3346268,-93.80507503,70102070104,399.0005,1.372013
2402,Glaciated,46.41645917,-93.77342929,70101040202,1201.672,1.514482
833,Glaciated,46.65185215,-93.74644191,70101040303,883.6518,7.078743
4081,Glaciated,46.10813117,-93.72053349,70102070201,2540.077,9.880926
364,Glaciated,46.81267795,-93.70051703,70101030807,1750.103,6.604317
425,Glaciated,46.99607231,-93.58439136,70101030702,1475.983,5.553473
1670,Glaciated,47.39723051,-93.68958101,70101010802,379.5611,0.738911
2792,Glaciated,47.21351342,-93.68469932,70101010909,1344.633,4.826833
3703,Glaciated,47.24198593,-93.57398481,70101030301,1377.099,7.305631
3702,Glaciated,47.52997755,-93.41403123,70101030201,1312.222,5.236351
4212,Glaciated,47.30899476,-93.41409602,70101030404,928.121,1.455249
39964,Glaciated,47.6241974,-93.35293525,70101030103,525.9399,3.140495
2274,Glaciated,47.30013134,-93.18298069,70101030402,4874.644,4.926679
32624,Glaciated,47.3518267,-93.13715447,70101030402,3838.827,16.69073
57671,Glaciated,45.81629121,-95.54330647,70101080105,146.6021,3.052199
106265,Glaciated,46.41110484,-95.54872913,70101070103,83.62984,2.252343
64931,Glaciated,45.8812206,-95.54399425,70101080105,99.52139,5.643971
65913,Glaciated,45.89876819,-95.4288389,70101080106,60.3743,2.990862
113419,Glaciated,46.90632029,-95.43012257,70101060401,261.4011,49.63981
101152,Glaciated,46.07866685,-95.37369715,70101080102,250.1147,2.081734
96014,Glaciated,47.19038545,-95.36581573,70101060201,599.7399,36.36552
99156,Glaciated,45.84793113,-95.3436035,70101080107,1014.859,14.64803
136701,Glaciated,47.20661698,-95.27977947,70101010202,83.24665,3.922168
275866,Glaciated,47.15756758,-95.23675809,70101010201,305.2583,20.58147
17870,Glaciated,46.83714638,-95.22287602,70101060302,1377.973,41.61189
1045,Glaciated,47.18924708,-95.2180673,70101010201,790.7217,6.696032
4155,Glaciated,46.76303859,-95.06641494,70101060404,1281.319,9.029592
106302,Glaciated,46.94276168,-95.02348594,70101060209,177.3764,20.71292
2111,Glaciated,47.01720867,-95.00495017,70101060207,252.6806,1.949046
112498,Glaciated,47.30287904,-95.01377644,70101010304,951.2106,11.56266
42184,Glaciated,45.30469472,-94.99765015,70102040205,472.1217,8.38454
32582,Glaciated,46.98042623,-94.95474695,70101060503,97.72322,3.595218
130522,Glaciated,47.01080696,-94.92825284,70101060503,411.6782,24.02926
19016,Glaciated,47.03733994,-94.93218145,70101060502,387.4352,2.932115
136715,Glaciated,47.0284196,-94.90164996,70101060503,72.07211,1.336173
28375,Glaciated,47.16355963,-94.90197818,70101020201,26.78769,3.638493
