lagoslakeid,lake_nhdid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
5488,75656625,Glaciated,44.6182971663,-89.2417218621,040302021502,63.35114273,1.761767557
47993,75661467,Glaciated,44.1751929536,-89.2112959663,040302022004,30.55468913,4.972031005
103879,75661287,Glaciated,44.2033589449,-89.2052134455,040302022001,16.22509903,2.525344851
26054,75660807,Glaciated,44.2834458228,-89.1810302284,040302021807,197.7266178,48.49846872
4896,75659925,Glaciated,44.3420444433,-89.1499126486,040302021808,155.5865264,2.011893201
115198,75656253,Glaciated,44.6448992305,-89.1623781662,040302021503,254.7836134,58.48515857
5361,75656945,Glaciated,44.5720396167,-89.1317631553,040302021602,149.7432434,5.171204315
25030,75660569,Glaciated,44.2971290371,-89.128519525,040302021904,225.0211665,53.79944333
64604,75656895,Glaciated,44.5748791931,-89.120961222,040302021602,274.9724539,18.44518739
5165,75660815,Glaciated,44.2789371133,-89.1040670815,040302021904,10.40612271,2.026951186
4623,75660713,Glaciated,44.2898557727,-89.103498327,040302021904,464.6098793,16.46791969
79140,75660245,Glaciated,44.3193689403,-89.1137114419,040302021808,8265.825498,1012.34802
132938,75653387,Glaciated,45.0514898338,-89.0746276349,040302020501,40.9917437,5.118683909
4343,111861557,Glaciated,46.0025080641,-89.0255665871,040301060301,503.9504765,7.497887397
4741,75656995,Glaciated,44.5570902849,-89.0038704723,040302021701,286.2355985,17.72807137
751,75656815,Glaciated,44.5698500911,-88.9582227397,040302021701,102.0175575,5.522005421
1373,75652453,Glaciated,45.3538025575,-88.9586222017,040302020206,286.3001575,16.69404087
121540,75473571,Glaciated,45.9003539644,-88.9665599859,040301080201,52.3421677,2.070666731
26053,75652497,Glaciated,45.3493297971,-88.9577260615,040302020206,51.50497974,6.993186874
2474,111861461,Glaciated,46.0291200543,-88.9344907947,040301060302,121.4775249,8.712765388
4517,75654681,Glaciated,44.8181756471,-88.9126812691,040302021202,17267.56396,1508.604673
123654,75652821,Glaciated,45.1774366339,-88.8908141659,040302020303,184.6753785,43.99879579
2802,111860797,Glaciated,46.1744975757,-88.8867996378,040301060103,300.6494731,2.731673891
26061,75653555,Glaciated,44.984233683,-88.8541210928,040302020404,15955.7022,203.7490233
60399,75651895,Glaciated,45.4514465979,-88.8600195751,040302020104,139.412989,16.82307156
45912,75651891,Glaciated,45.4515744528,-88.8495673486,040302020204,25.68035911,4.627391838
105991,75658207,Glaciated,44.4544874632,-88.842355172,040302021302,567.6166062,94.07911432
139115,75653185,Glaciated,45.0830116733,-88.8415318061,040302020402,76.18318127,5.884316871
107002,75651709,Glaciated,45.4913318771,-88.8237146171,040302020204,264.1301938,13.64322368
1387,75651783,Glaciated,45.4728836596,-88.8105525359,040302020204,292.0758397,9.615921595
14475,75652111,Glaciated,45.4089098381,-88.7939015531,040302020204,40.00280536,6.984710574
1274,75652125,Glaciated,45.4025121104,-88.7836016392,040302020204,771.0089892,36.79375599
17547,75474039,Glaciated,45.8222639122,-88.7922758056,040301080102,221.7534785,11.61675091
51135,75651629,Glaciated,45.5007413079,-88.7730005872,040302020203,143.2112934,14.3086632
2557,75473991,Glaciated,45.826679347,-88.7461055863,040301080205,117.9997598,6.361090675
5152,76155549,Glaciated,45.5571493917,-88.7072248292,040301050101,285.215053,2.224854048
85364,111861619,Glaciated,45.9816172081,-88.7178513074,040301060309,106.4042001,17.47095075
1681,68838557,Glaciated,45.2919921268,-88.6842686946,040301040102,564.4259335,9.067947638
34334,68840477,Glaciated,45.4974461823,-88.670382409,040301040203,25.94326032,3.956729442
2625,111860863,Glaciated,46.1452899299,-88.6529382216,040301060307,741.3924241,4.69059556
112172,75653895,Glaciated,44.8860693699,-88.6198119488,040302020702,17.01127005,1.318923641
140164,68838823,Glaciated,45.2403986896,-88.6282108843,040301040102,315.7972593,43.44284925
96716,68838723,Glaciated,45.2586559133,-88.6250473308,040301040101,168.0126746,7.152585036
4421,68838599,Glaciated,45.276342754,-88.6209179162,040301040202,314.0443412,5.349415582
99787,75474257,Glaciated,45.7900389003,-88.6244883613,040301080104,61.36379538,13.01127337
105995,111861097,Glaciated,46.1008789828,-88.6147241343,040301060308,117.7669199,3.340613698
41806,111861115,Glaciated,46.0982589462,-88.5639805721,040301060308,441.7794297,11.53453831
74855,68839535,Glaciated,45.0064512125,-88.5531032645,040301040104,150.5470403,25.41754924
5451,75654223,Glaciated,44.8303832978,-88.5109455563,040302020602,2589.58454,19.58535674
41792,68839405,Glaciated,45.0257209419,-88.5206860291,040301040104,3050.448517,321.0497621
141152,68839229,Glaciated,45.0517994684,-88.5176001105,040301040105,222.143628,9.448218218
19806,68838143,Glaciated,45.4020213224,-88.5138087541,040301040204,40.81191547,7.588560591
62451,111861359,Glaciated,46.0323711962,-88.5183648307,040301060502,146.0836858,3.087385102
71721,75654183,Glaciated,44.8386627396,-88.5005583623,040302020602,133.8621939,9.025837216
128777,75653939,Glaciated,44.8724361745,-88.5074521265,040302020602,50.83984617,4.219020642
57321,76155955,Glaciated,45.444028981,-88.4910885826,040301050401,554.2140738,24.66642489
64619,68840089,Glaciated,44.9100239006,-88.4641522172,040301040501,93.84843822,11.44019548
1044,111860699,Glaciated,46.1962824548,-88.4724336179,040301060406,461.3818902,9.099121407
68676,75473569,Glaciated,45.8753814174,-88.4591135189,040301080106,51.13803016,10.30598752
32294,111861761,Glaciated,45.9437924002,-88.4601262187,040301060502,418.2518494,90.69383636
2528,111860947,Glaciated,46.1197492029,-88.4518295416,040301060405,659.3952265,27.23111374
67688,75654579,Glaciated,44.7978792569,-88.4356503308,040302020601,1885.253099,133.6479374
1128,76155937,Glaciated,45.4469134756,-88.4382617556,040301050104,68.98448834,6.139861163
57306,76156035,Glaciated,45.4208875822,-88.4284265263,040301050401,24.8560142,2.01524575
4557,111861759,Glaciated,45.9436326843,-88.4247474218,040301060503,292.5050481,17.13065175
4539,75654561,Glaciated,44.8007497646,-88.4046797192,040302020601,1098.928415,11.47828933
3945,149427031,Glaciated,43.7320996388,-88.3947104229,040302030301,135.8157129,4.196367206
93692,75473887,Glaciated,45.8200809057,-88.369086777,040301080107,139.6249233,15.09929256
132942,68838827,Glaciated,45.2228773401,-88.3518169424,040301040205,526.7393832,27.05304334
1507,68839833,Glaciated,44.9381461988,-88.317495077,040301040401,160.9637005,18.23295982
1429,75474273,Glaciated,45.7682490045,-88.3202451221,040301080209,137.4564456,7.12205601
41795,110736305,Glaciated,46.2131655946,-88.3132436028,040301070302,4177.34363,90.322217
103889,68839015,Glaciated,45.1707350154,-88.2958061986,040301040301,97.12841367,3.541781905
1565,76156345,Glaciated,45.3255874184,-88.286195904,040301050404,134.7492287,5.113672639
93694,68839187,Glaciated,45.0569560376,-88.2807888883,040301040302,392.7146207,6.939848863
4806,68839241,Glaciated,45.0304529734,-88.2483455589,040301040302,201.7469631,9.98620269
31266,75475069,Glaciated,45.6508504194,-88.2630419944,040301080604,860.8231847,59.89640376
5188,68839261,Glaciated,45.0216224357,-88.2267895149,040301040402,202.327032,1.362382454
109050,68838907,Glaciated,45.199607871,-88.1905023173,040301040301,20.34512406,2.859518999
67704,110734673,Glaciated,46.5553715339,-88.1874469257,040301070106,682.4385128,34.61826818
24002,139260788,Glaciated,43.8230281058,-88.1798049289,040301011103,101.2220559,22.30571765
119415,75476007,Glaciated,45.4208203216,-88.1822285517,040301080905,97.44532341,18.36969337
90603,76156925,Glaciated,45.1314081778,-88.1280763378,040301050502,305.7090469,54.20233308
58355,76157217,Glaciated,45.0635617718,-88.1161820176,040301050506,205.8228047,11.09724711
96711,110735909,Glaciated,46.26570684,-88.1156757132,040301070205,456.8629,6.482796917
116292,76156065,Glaciated,45.39596312,-88.110118846,040301050302,21.40353826,4.175108143
60384,75475807,Glaciated,45.476318254,-88.080517709,040301080602,157.6528788,37.16352133
96722,75475179,Glaciated,45.6133184152,-88.050451325,040301080502,19.26634505,3.913016416
2398,75475183,Glaciated,45.6097521603,-88.0119913904,040301080606,554.094149,32.33536851
128797,152512235,Glaciated,46.4636545715,-87.9952123994,040301100102,122.4759152,6.384071313
97812,110734447,Glaciated,46.6005335301,-87.9949207351,040301070105,134.4274246,3.439656866
15455,75472609,Glaciated,46.0271781515,-87.968118554,040301080305,317.7490988,30.46175236
60374,139260589,Glaciated,43.921171223,-87.9582964474,040301011105,121.4811876,23.32225046
2476,139260505,Glaciated,43.9587844912,-87.9439098621,040301011105,1161.580648,214.1854989
4053,75475951,Glaciated,45.4250997413,-87.9461119719,040301080904,453.3854591,13.05720925
9206,75474995,Glaciated,45.6447109328,-87.9165967071,040301080505,234.8979885,29.10030973
18603,75476107,Glaciated,45.3591047875,-87.8998408325,040301080906,76.94893655,10.45350841
28054,75474933,Glaciated,45.6549558582,-87.866437609,040301080505,235.1100984,36.3892746
3546,139259896,Glaciated,44.1467901424,-87.85303117,040301010502,912.1224017,200.5724853
40707,139261260,Glaciated,43.4925207332,-87.7959712144,040301011203,135.1033001,19.14539098
85367,152512326,Glaciated,46.4000647425,-87.7911405061,040301100103,147.2046207,26.50560234
101839,152512442,Glaciated,46.3009273743,-87.780224153,040301100203,35.69336767,1.523585994
5390,139260209,Glaciated,44.0255708691,-87.7641382344,040301010702,235.5487385,26.05263215
4332,139259036,Glaciated,44.3445895954,-87.7131004204,040301010103,27.78769082,2.95192291
135031,152512464,Glaciated,46.2952101494,-87.5310898601,040301100111,101.1526385,2.672745605
4117,151959489,Glaciated,44.8661069028,-87.259861048,040301020109,2884.473547,147.3479889
9236,151959410,Glaciated,45.0846556164,-87.1019357557,040301020103,127.8560151,14.93900893
64628,151959405,Glaciated,45.1168789303,-87.0930688462,040301020103,3431.071157,50.27141345
119425,92131650,Glaciated,45.8760135999,-86.9314174762,040301110208,2475.035658,187.8652901
11393,113236217,Glaciated,46.0149132863,-86.6255535044,040301120108,161.6113476,15.00757323
3605,113236011,Glaciated,46.1119893452,-86.6257530524,040301120203,263.9637628,7.698308274
107977,113236523,Glaciated,45.9076979155,-86.449737765,040301120108,373.496978,64.58506883
1906,75661647,Glaciated,44.1378015087,-88.8390428112,040302022106,465554.9411,80.69279846
4002,149426016,Glaciated,44.0167950102,-88.409611926,040302030401,95528.48238,1.788369623
5187,75652179,Glaciated,45.3964099804,-88.9218805562,040302020201,1105.655976,2.145975889
4499,68838421,Glaciated,45.3234351367,-88.5952205032,040301040201,2623.351114,14.57536638
118357,152512181,Glaciated,46.5884985855,-87.9294971857,040301100101,326.2408452,4.60190483
52203,113235967,Glaciated,46.1812004087,-86.7759319536,040301120201,3138.749801,23.23144016
