huc4,slope_max,slope_min,slope_median,tri_max,tri_min,tri_median,elev_max,elev_min,elev_median
1508,78.02220819951333,0,2.884605371663164,134.45305872310976,0,1.386178090840499,2988,-44,647.397428976104
1026,66.07986417829771,0,2.6159064557607805,54.898770478035296,0,1.3637100073300763,1475,285,635.4561292702061
1108,76.59895180952756,0,3.7116694616318573,87.16148805521851,0,1.7139119810039607,4163,1067,1783.5370500325446
1404,82.60964463124705,0,3.0732819778287617,206.86861772632406,0,1.3840792172262661,4216,1494,2135.4919817559958
1304,83.15156876618582,0,4.29231453066806,321.3312154148738,0,2.7776270645057264,2732,322,1063.6130698209925
1303,80.31229811861964,0,3.3509173794760034,120.91887776521911,0,1.7120602259788877,3103,1086,1371.64125025382
1015,42.85858059559955,0,2.6277223353981913,35.30580688781946,0,1.1017533802585726,1855,368,931.6094444272336
1109,68.38377770812907,0,3.1393079343264434,91.66583332954542,0,1.7160823733627188,2684,137,919.5239935017897
1112,65.39230907679561,0,2.8948598615225167,64.90570082820152,0,1.7132828118106787,1518,358,827.4726957194465
1107,57.33451883649669,0,2.5212015783142667,39.4715087119811,0,1.362957533510417,547,115,300.5879318380001
0803,51.83252738765456,0,2.1840563741126093,53.2024435529046,0,1.1026543214640927,226,-8,55.20681563469597
1503,82.25092095597554,0,3.3303554803164017,183.03244247946864,0,1.3861923717800193,2544,-40,439.41059535320136
1408,84.37855792812783,0,4.402386928782583,244.01690515208162,0,2.413822496624492,4271,1063,1927.522106497706
1104,57.82185066797908,0,2.5092914805504765,40.413487847499624,0,1.3635577685582614,2654,508,1015.503602475733
0708,55.025454881383176,0,2.636368940762456,48.87611891302336,0,1.1032168547585404,440,119,274.5592760874302
1602,82.4898287251248,0,3.7483858827044796,151.3332415565067,0,1.3962482287711782,3976,1184,1559.394940862185
0406,54.81062164551661,0,0,34.80840415761688,0,0,530,155,175.00001372923973
1110,60.59401480132286,0,2.8951024642372074,55.163393659201205,0,1.3649410698804094,2654,154,823.7572411077837
1011,47.19362656608645,0,2.8358696121532674,29.943697166515694,0,1.3229240170245844,1449,534,721.5155920304471
1012,69.32793631669587,0,3.1181429247346553,55.693356874945145,0,1.6096984409155648,2196,491,1211.4946382182438
0801,63.768798310237905,0,2.887925178946615,53.84468404587402,0,1.6122669444584485,239,-5,117.99999999999999
1709,77.98338769469089,0,9.734351028919509,114.17037706865997,0,4.239880837328725,3140,-34,391.4438793063462
1703,82.10064972270573,0,7.235606480027046,116.89311356961966,0,3.234646628481958,2472,87,759.4329503679357
1702,84.48358366781416,0,9.754117844552171,277.39525050007614,0,2.9420968089510957,2834,94,919.514923794742
1711,83.62161847042165,0,8.726725165089157,283.11261010417746,0,2.8904534457928834,4384,-32,207.09845132325503
1708,85.4263856313668,0,11.274553190884895,357.5297190444453,0,4.944912821294631,4259,-58,431.28657437103635
1707,80.79594676249071,0,6.765631905738341,143.98914889671374,0,2.4554261012334475,3740,-22,999.5204041871305
1712,79.74109823412616,0,3.0975850539905903,121.47479162361218,0,1.1998357200616148,2965,1182,1483.467958162021
1710,79.06808324076034,0,13.256859978229015,128.0800530918066,0,5.490360664556948,2872,-122,327.4601752929373
1705,81.64563198264841,0,6.264003925912464,167.05350939145217,0,2.4450813262765494,3288,507,1415.486135339605
1701,86.28586982027015,0,15.245967050267106,298.66180706611954,0,6.971110335000788,3333,379,1383.509047592059
1706,85.3596494231636,0,14.732825778953583,326.3046889028719,0,6.974052244794503,3828,95,1463.4251740659815
1909,0,0,0,0,0,0,0,0,0
1202,44.93925684099232,0,2.887371841097645,32.66305252115913,0,1.6129507396250362,246,-28,96.58618941392835
1113,59.10215784937712,0,2.404956720245925,46.13296001775737,0,1.364479488760445,1075,167,385.5146936668548
1203,57.004116761033394,0,2.3807947012891244,55.54615198193301,0,1.3640573865073466,466,-36,150.61327199869928
1207,58.53274617217124,0,2.353022358923121,56.306083152710954,0,1.3641918502918629,641,-29,153.59888202764665
1201,61.55280960619236,0,2.8923514571251365,72.75558397813874,0,1.2230196601842576,231,-41,100.60961791775854
1114,65.38001334564362,0,2.9057699311220944,72.76159701380942,0,1.710179324128115,820,4,121.5034885592127
0903,61.86827100569419,0,2.3231906911715345,43.92891985924535,0,1.101104997924813,684,286,394.4550781851381
0901,52.4564175794666,0,1.691138671315995,26.36996397418851,0,0.8236105452566629,836,419,570.5063439525824
0902,42.02372705089738,0,1.6638543484344364,25.93260495977988,0,0.8229772527902398,725,217,360.5293664370328
0202,75.97468600080964,0,5.753050265897304,97.30107913070646,0,2.7288939860884422,1612,-59,307.4729766458359
1401,81.30663172931911,0,12.807923240054992,179.41920187092575,0,5.484420790440884,4339,1306,2599.5154529068236
1405,81.31586193559768,0,6.691376652922785,168.76611034209446,0,3.466763625994638,3769,1415,2103.4151817481256
1906,0,0,0,0,0,0,0,0,0
1907,85.36100664873119,0,11.203625764842323,1368.6541747278602,0,3.0525777312019313,2490,652,1187.5042772818363
1908,0,0,0,0,0,0,0,0,0
0808,60.50212500176537,0,2.145141166002538,58.318093247293334,0,1.1037443444598174,149,-82,10.042900853638582
1204,67.97956351605141,0,2.2114803319096104,77.27790758036866,0,1.2056349461176725,177,-72,17.074840774133193
1210,55.23543610167893,0,2.131308773054182,42.391036788453285,0,1.1047313672988885,739,-47,93.5626159340353
0107,78.14775434446649,0,5.247803909214629,79.65158504386463,0,2.226061628237983,1583,-11,195.49618505108626
0106,71.56535340096603,0,3.8530319522183385,62.12688628927093,0,1.613240761298211,1914,-65,107.48355907435433
1403,81.76057875563707,0,7.29822578822882,174.08762161624244,0,3.461508550182959,4294,1091,2023.4366060579114
1402,81.10840820316176,0,10.787503563731558,133.87307421584072,0,4.481158533923648,4372,1386,2695.5872947299986
