NLA12_ID,bbox_width,bbox_height,bbox_angle,bbox_area,bbox_perimeter,geo_type0,geo_type1,geo_type10,geo_type11,geo_type13,geo_type14,geo_type15,geo_type16,geo_type17,geo_type18,geo_type19,geo_type20,geo_type3,geo_type4,geo_type5,geo_type7,geo_type8,geo_type9,median_slope,area_sqkm,index_depth_m,buffer_min_elev,buffer_max_elev,perimeter_km,min_bbox_dim,bbox_area_sqkm,char_dim,pred_max_depth,grad_100m,dev_index
NLA12_AR-104,811.561051,1165.974607,118.508609,946259.577439,3955.071316,0,0,0,0,0,0,0,0,0,0,0,0,0.78947257022049,0,0,0,0.21052742977950992,0,9.118266884662095,0.44682124001354934,9.1,198,276,4.7386046844,811.561051,0.946259577439,191.6084781598396,59.96207020257462,78,1.999763524713929
NLA12_AR-105,298.863572,443.287005,142.286553,132482.33785,1484.301155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.543313689717588,0.07295002539755124,2.45,55,81,1.55151324363,298.863572,0.13248233785000002,82.28306324307094,15.822451423077817,26,1.6204581944494567
NLA12_AR-106,1914.351756,3337.775168,132.385134,6389675.755565,10504.253849,0,0,0,0,0,0,0,0,0,0,5.599159097182869e-4,0,0.9994400840902816,0,0,0,0,0,4.580249426330146,2.2259275415826076,5.4,77,106,17.2363000121,1914.351756,6.3896757555649994,333.4447991548075,53.08460984207581,29,3.2589943023225754
NLA12_AR-109,183.859433,396.552728,84.333765,72909.959785,1160.824323,0,0,0,0,0,0,0,0,0,0,8.632959534202536e-4,0,0.9991367040465797,0,0,0,0,0,5.133171305810225,0.04149225261355285,7.8,100,126,1.00345850285,183.859433,0.072909959785,52.31618603217279,9.324011370633897,26,1.3896677490220726
NLA12_AR-111,226.556819,122.485899,135.550275,27750.015726,698.085437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.356151652438446,0.02061803017516574,1.2,122,139,0.594248560968,122.485899,0.027750015726000003,45.50300054871945,6.892479605633455,17,1.1674535799589192
NLA12_AZ-101,2896.016576,5244.627526,90.799126,15188528.254225,16281.288206,0,0,0,0,0,0,0,0,0,0,0.2244609377044024,0,0.3227514735404599,0,0.4527875887551377,0,0,0,9.192011585596159,3.734884096539129,23.85,433,578,24.147302937,2896.016576,15.188528254225,356.06762129857213,112.29818458496493,145,3.524724148849423
NLA12_AZ-102,1218.553614,2104.365683,134.243003,2564282.407483,6645.838593,0,0,0,0,0,0,0,0,0,0,0,0,0.4114633922812583,0,0.5885366077187417,0,0,0,3.8636206574214946,1.1917981499516126,1.6,1556,1588,9.13022933007,1218.553614,2.5642824074829997,283.1727774101807,38.07465666938117,32,2.3592578060137237
NLA12_AZ-103,768.879378,1681.362784,19.807359,1292765.171061,4900.484323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4460896324198664,0.8145252872447446,3.6,2164,2180,4.68370507451,768.879378,1.2927651710610002,242.2217546702685,20.656894959575993,16,1.4639704901837318
NLA12_AZ-106,1763.571485,2059.250423,24.419045,3631635.327355,7645.643817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.446955171061076,0.5500641967479437,4.8,63,75,10.5125493973,1763.571485,3.631635327355,133.55932587684018,6.742981814844622,12,3.9984938144370807
NLA12_AZ-107,1985.866952,6014.18382,144.004733,11943368.892514,16000.101544,0,0,0,0,0,0,0,0,0,0,0,0,0.9157832054955096,0,0,0.08421679450449038,0,0,4.999517192774381,5.292331385744322,3.6,1808,1864,25.9117786199,1985.866952,11.943368892514,439.9874981911304,76.39572472350035,56,3.177377219063115
NLA12_AZ-118,316.664152,949.195325,87.117319,300576.132829,2531.718955,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.4059226529046014,0.08007210087417439,2.4,359,369,2.71305774682,316.664152,0.30057613282900003,42.1789376347524,3.53813193353007,10,2.704665080955106
