huc04,huc4_min_depth,huc4_max_depth,huc4_median_depth,huc4_sd_depth
0101,0.304800004,55,3.048000097,9.154264401088286
0102,0.609600008,56.96969986,6.7055998925,8.571939281286499
0103,0.304800004,74.9808,7.315199926,10.064129801323126
0104,0.9144,45.15151978,8.534399986,8.837839034330063
0105,1.219200015,66.66667175,8.229599953,8.071244293119179
0106,0.8,95.80000305,6.705599785,8.437366010407025
0107,0.5,54.86132277,5.1,6.705607553650907
0108,0.609570253,55,4.572,7.6886705799140795
0109,0.75,30.47851265,4,5.045874678532698
0110,1,35.05028955,6.1,6.752937975461374
0202,1,56.2,7,7.728138055685603
0203,0.5,49,3.2,7.532836314587639
0204,0.3048,68.2,2.7432,8.083308115435894
0205,0.6096,61,9.4488,8.971499772287054
0206,0.9,42.0624,18.288,14.143907727559391
0207,1.6,46.0248,7.5,9.155306139778542
0208,1.4,17,2.4192,3.057209769729423
0301,1.8,44.196,11,14.437078406739811
0302,1.7,7,4.3,1.866930441227244
0303,2.4,21.0312,5.8,6.019975204627298
0304,2,19.2024,5.1,6.544444988945459
0305,0.9144,215.4936,11.8872,35.41330466293846
0306,1.2,99.3648,7.924799999999999,30.098493667569677
0307,2.1,29.2608,5.1,9.151539567422262
0308,0.9144,30,4.572,3.497575279626945
0309,1,24.0792,6.096,4.51776852980097
0310,0.6096,17.3736,5.1816,2.6647349764229027
0311,1.3,7.6,3.9624,2.0920505723986893
0312,1.2192,8.5344,3.048,1.9983800418386506
0313,2.7432,47.5488,6.096,12.729744162366273
0314,1.1,178,4.2672,30.448779157812094
0315,3.5,137.16,13.25,31.006017210798614
0316,2.5,49,9.144,12.077294759226808
0317,4.6,15.24,5.4864,3.1071182500246692
0318,2.5,10.67,5.4864,2.811825952456711
0401,1,141.7193451,6.584463358,11.12967808356135
0402,1,37.5,9.071776897500001,6.478750778824983
0403,0.3048,71.9328,7.9248,6.49787130041523
0404,0.9144,32.004,5.7912,5.487164951437275
0405,0.35,33.52636391,10.66747943,6.28603917018672
0406,0.9144,76.19628162,9.143553795,8.804172263484562
0407,1.219140506,45.71776897,9.143553795,8.366822832139574
0408,1.219140506,39.0144,10.333739715,7.8056132253410615
0409,1.523925632,36.57421518,10,7.739095474115358
0410,4.4,32.3,12.19140506,5.462849197788701
