lake_nhdid,area,perimeter,bbox_lw_rat,SDI,dist_pole
"80006869",171952.434814453,2698.80808718094,1.184,1.836,134.920299927746
"120020902",1834206.03546143,7114.72969932796,1.268,1.482,567.562961051744
"120018000",487300.920501709,4668.27618884507,3.112,1.886,201.265281603257
"34127708",226625.126434326,2253.60854930656,2.998,1.335,154.270049441394
"120018097",484674.693511963,6742.89120971246,1.267,2.732,155.679754686728
"80003215",423282.652770996,2805.72393351566,1.073,1.217,270.512362152298
"120020944",598124.43157959,3533.30178139328,1.382,1.289,323.405366820715
"80003145",443631.655456543,4536.34805150217,3.647,1.921,162.217679315715
"34132559",53395.961151123,1025.04633949543,1.346,1.251,82.1568314039686
"34119747",684730.79296875,5179.38759841436,1.730,1.766,298.923882589568
"81642647",82421.5444641113,1368.23847844766,1.599,1.344,117.474399569221
"120020970",515778.446655273,3211.19234098865,1.665,1.261,266.671284953412
"120018059",747819.626037598,6888.85428418421,3.983,2.247,210.968598619596
"120018072",834317.546051025,5380.90488495935,1.048,1.662,326.965148070493
"120018090",273581.362976074,2665.33770864889,2.235,1.437,166.963745712252
"80005877",282004.117736816,2316.475657632,1.563,1.231,220.933656118592
"34127702",48280.6448974609,1414.91620548508,3.445,1.817,60.6356481495493
"120018017",1443113.66455078,8014.11295676321,1.351,1.882,421.982867384839
"120018064",840467.919189453,3892.92728771299,2.155,1.198,337.040646202712
"120018123",182564.912902832,2315.98690297858,3.001,1.529,135.694027895038
"80002513",64136.9147949219,1180.72152499149,2.002,1.315,88.6671543832757
"120018003",995198.776306152,8410.64023522669,2.350,2.378,272.431427549242
"80001779",342796.887573242,2277.4164706919,1.367,1.097,261.645708034137
"120018078",332475.510070801,3422.7611874192,1.831,1.675,243.192091852401
"120018029",385825.659545898,2738.17806949399,1.689,1.244,245.917815389194
"34133814",43086.5181884766,1094.47507759821,1.199,1.487,71.799015340174
"34126696",83481.560546875,1394.34357141568,1.352,1.361,124.702079420663
"120018098",378511.409179688,2829.01868978028,1.481,1.297,259.247324609053
"120020368",528492.967407227,4122.97132739937,1.412,1.600,247.708192543142
"91692261",44603.4358520508,1228.84990368746,1.449,1.641,79.1663656423041
"120019508",2958775.32455444,19878.6308509229,5.470,3.260,304.409955083431
"167256810",648894.104736328,10491.3697615525,2.148,3.674,171.313809498421
"120018224",7283437.57867432,34935.4135432478,1.202,3.652,605.301268778591
"45339335",1792770.19293213,7008.20385191044,1.326,1.477,521.231208013692
"120019854",12604054.2207642,30479.5662748181,1.785,2.422,898.979487927278
"120019802",845423.39730835,7480.88748138108,4.005,2.295,214.748863892522
"120019660",2934249.26947021,15319.8015888403,3.854,2.523,463.95691358029
"45721665",2855315.57714844,14282.150262819,2.022,2.384,393.137600867213
"167258144",959138.905807495,11742.0969684714,1.940,3.382,211.205698697208
"167258177",1171613.90765381,12629.8835702563,2.358,3.292,242.609400285355
"120020792",2109764.46734619,7191.91774788804,1.924,1.397,557.175360948126
"167258139",2002633.57051086,8013.08441464563,2.566,1.597,525.515737110274
"72862239",1506708.87341309,11005.2258656425,3.106,2.529,266.561016897326
"120018275",2120385.31298828,11487.2022596548,1.518,2.225,416.197459796405
