lagoslakeid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
4636,14.43,11.207,11.207,1,1,3,4,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13119266
119866,NA,47.292,11.621,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13349668
17993,NA,53.251,53.251,0,1,2,1,1,32811,1652.416,80.469,0,50603,1,NA,NA,0,Y,N,24986,12979627
30635,NA,0.105,0.105,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13095130
137627,NA,1.362,1.362,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12991411
5213,0.102,16.727,0.102,1,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13117646
120949,NA,8.42,8.42,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12991721
110492,NA,0.759,0.759,0,1,2,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13345370
130403,NA,0.251,0.251,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12990885
4290,NA,1.56,1.56,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12990981
97173,NA,3.865,3.865,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343110
57776,0.669,0.813,0.669,2,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343250
4938,NA,0.041,0.041,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13346922
128291,0.45,8.143,0.45,2,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343344
1770,NA,0.88,0.88,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13346682
2885,0.987,4.852,0.987,2,1,2,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13344044
