OBJECTID,lagoslakei,area,perimeter,SDI,bbox_lw_rat,dist_pole
291196,"87095",247796.419746399,3098.70788767654,1.756,1.655,180.997617738961
294468,"122214",217740.230133057,2619.80981480046,1.584,1.208,148.835421136489
291171,"65224",146593.149017334,2097.77570588727,1.546,1.209,107.919883246915
291177,"106557",629287.494247437,6419.62861549653,2.283,2.658,191.088900427588
293355,"103480",216142.946090698,2658.73072027725,1.613,1.374,174.513092418158
294442,"82848",398982.184711456,5916.48558817917,2.642,2.581,179.912503446316
293336,"102438",246424.010177612,1968.39397106851,1.119,1.309,219.624920039282
291131,"55874",49695.1165390015,1161.37540262056,1.470,1.889,77.8169150316778
297507,"27698",161535.703872681,1875.67929875982,1.316,1.178,161.409360240393
291143,"89184",435494.063491821,3378.92591913672,1.444,1.407,234.860089464705
296492,"40308",197199.922103882,2476.63363542564,1.573,1.261,152.285853742065
211444,"275866",148317.040267944,2780.75083033519,2.037,2.271,91.8479194735947
208716,"3826",638586.426635742,5837.02779417344,2.061,2.497,242.994442548535
211429,"136701",212246.486221313,2850.88369463064,1.746,2.248,134.501402700759
214171,"110333",432668.535247803,3713.67796259549,1.593,2.549,177.34607774044
210073,"100128",202763.243515015,2820.8342969538,1.767,2.380,134.487408156703
294960,"8589",278371.132995605,3578.20294267171,1.913,2.229,166.113051404651
297042,"103496",421857.385543823,3851.94360502485,1.673,1.746,215.008866467965
297043,"122207",186494.5337677,2570.74429852477,1.679,2.397,120.086264285508
207382,"2099",607161.564956665,5097.90897071526,1.846,6.319,169.002848658917
216903,"33591",857695.043731689,5241.53643821687,1.597,1.398,328.103454437443
292900,"89214",5415681.57192993,9143.33126056293,1.108,1.300,1105.60376545855
209929,"1385",1519733.84249115,18357.1656172389,4.201,2.144,174.288254970054
211398,"96014",164919.926864624,3533.25790626338,2.454,3.800,90.1866925138922
216862,"39955",193408.472160339,2383.59671558258,1.529,2.777,118.009698507626
293887,"93311",548782.480232239,3058.32194727433,1.165,1.698,309.51672428518
292793,"26713",818085.792037964,3970.94408270043,1.238,1.586,365.341177287193
290589,"75529",378119.164405823,3272.17000609919,1.501,2.143,214.942122806742
295962,"103486",406321.914703369,4529.35702929611,2.004,2.784,158.376886572875
291721,"65247",239610.183792114,2982.75999796582,1.719,4.049,153.551227895121
295954,"9629",287556.878837585,3726.6246581435,1.960,2.177,206.535443224305
291700,"40300",491713.968887329,4538.49562624738,1.826,2.275,191.924297174659
291666,"22462",204717.668327332,2507.65117181843,1.563,3.298,130.551846575036
293841,"77593",213585.545387268,3161.35420928847,1.930,2.504,108.244443597474
298006,"38140",146615.081916809,2094.6365743679,1.543,1.900,165.589755208301
294931,"84970",334040.801742554,3482.54769036727,1.700,1.814,189.261405982674
292755,"91226",296613.130867004,3303.58342269818,1.711,2.269,184.293530134035
298025,"77609",173372.795501709,2559.41534598747,1.734,2.267,149.01263076689
291706,"111768",190881.79221344,2554.4081821496,1.649,1.643,145.115245393589
293839,"61020",175592.153274536,1872.35702845594,1.260,2.254,157.583004558628
292751,"48631",445497.496109009,3962.88869414798,1.675,1.952,194.866828201657
294938,"33918",240169.010543823,2209.12173896562,1.272,3.154,151.459273268471
297004,"21392",285907.92339325,2473.5034135692,1.305,2.689,184.462733830344
295049,"116877",5018399.18587494,13054.8100649298,1.644,1.112,800.099581702293
145997,"127790",51373.4870605469,885.188154092498,1.102,1.236,108.607612269994
145996,"140194",75190.2365722656,1439.20833015518,1.481,2.012,101.699633152935
145659,"376",122890.838012695,1275.35724705863,1.026,1.156,176.793242952823
145657,"84340",90473.3206787109,2344.38750180905,2.199,4.472,96.0349724909728
145655,"14444",244620.867797852,2972.1358966711,1.695,2.368,144.712226226303
145308,"1033",46906.2883300781,851.419692285771,1.109,1.368,98.5662956334837
144614,"1452",1656435.97399902,11699.951777257,2.564,2.328,328.415079280334
144589,"35328",90151.4345703125,2258.6354285016,2.122,2.314,92.7780569638909
144586,"111066",303528.386962891,3005.57645563766,1.539,2.534,195.358934541123
145991,"1731",333153.835205078,4688.06115381083,2.291,2.559,163.986889143788
145305,"135076",49225.2718505859,864.800129749741,1.100,1.511,93.0588998038236
145310,"9257",159366.144897461,2948.31722698863,2.083,1.233,91.6036009162176
