huc04,min_rd,max_rd,median_rd
1710,1.6678120904741554e-4,0.006200729483007447,0.001114572978900402
1711,1.7535719341321818e-4,0.017297611967657413,0.0019491019560673446
1712,6.750318223834997e-5,0.0019084870382730344,3.145293166908231e-4
1801,8.520058038186815e-5,0.007668106205229408,0.0020748234421190293
1802,1.689796049088623e-5,0.010562106728236764,0.0019723012410113863
1803,4.007356646498327e-4,0.00903470420573702,0.0015025312058445654
1804,2.485510542726348e-4,0.005129797605063145,0.0014360263769440367
1805,3.4884176345940926e-4,0.004846847126654511,0.0016601705847284068
1806,2.9350011017257476e-4,0.004892757067877543,0.0011455960362786283
1807,7.317176903143485e-5,0.004392905244366141,0.001772361461337749
1808,3.924432852099334e-4,0.0029245156341765363,0.001658479459693235
1809,2.706666167121457e-4,0.010112534520072502,0.0023849825486941603
1810,4.485917444416673e-5,0.010856528399806241,2.94089483014686e-4
