NLAID,hcurv_min,hcurv_max,hcurv_median,vcurv_min,vcurv_max,vcurv_median,elev_min,elev_max,elev_median,slope_min,slope_max,slope_median,relief1000_min,relief1000_max,relief1000_median,relief500_min,relief500_max,relief500_median,relief100_min,relief100_max,relief100_median,relief50_min,relief50_max,relief50_median,dev1000_min,dev1000_max,dev1000_median,dev500_min,dev500_max,dev500_median,dev100_min,dev100_max,dev100_median,dev50_min,dev50_max,dev50_median
NLA06608-0512,-0.0016189299455674356,0.0015152753963149342,1.8143853623276366e-5,-0.0018746858169914572,0.001195104247765972,-2.4980375921608355e-4,673,705,687,0,18.50849723815918,5.054081718493915,13,33,20.999999999999993,11,31,17.999999999999996,2,26,8.999999999999998,0,14,4,-1.958784550246393,1.9464791261386234,0.2744320268205845,-1.8818917771569648,2.3490846104775422,0.36011488754402454,-2.0711741692066563,1.844776557185357,0.13469215341334195,-2.2804962946430876,2.6666666665115217,0.07828048759447272
NLA06608-1024,-0.0019104638459156193,0.001012370863387697,-3.2583567628037316e-5,-0.0017051478718076215,8.401915440982481e-4,-3.3834870465232434e-5,619,645,634,0,11.714895248413086,3.9593141501830544,13,30,20,9,24,14.999999999999996,2,15,5.999999999999994,1,7,2.9999999999999996,-1.615154569433029,1.8482622322581708,0.5232809842224643,-1.5585594419170623,1.8362732434861466,0.3371802197479298,-1.880235067157043,1.565805265077279,0.13414679870572035,-1.8490006540509392,1.4792005232408272,0.06958444486073058
NLA06608-0302,-6.967629463540594e-4,0.001253453696397405,2.1572148729587903e-5,-6.766106762023657e-4,9.150945413364744e-4,-3.3911677233315462e-6,350,370,359.0000000000001,0,7.947920322418213,3.0823911227278806,11,21,14,10,21,12.999999999999991,2,11,5.000000000000001,0,6,2,-2.50318012872343,2.8811984044498944,-0.3252111909351166,-1.8452122458329403,2.2479129528600197,-0.07673866777456406,-2.143493390918285,2.0001778014775087,-0.01928902615340306,-1.8490006540509392,2.6666666665115217,0
NLA06608-1134,-0.0014753711062289716,0.0014623883475861587,5.350799762129699e-5,-0.001669600584011573,0.001609699220399143,-2.226251494458021e-5,444,470,448.99999999999943,0,25.569339752197266,2.298562220957957,7,57,22.000000000000007,4,40,12.999999999999993,0,25,4,0,18,2,-1.540319029303045,2.9676546690420365,-0.20276308026880427,-2.276587466539848,3.337023534520805,-0.045520180575937125,-2.6400228098965033,2.377188891741701,-0.02135638225015896,-2.6666666665115217,2.6666666665115217,4.87593787419683e-6
NLA06608-0110,-0.002334540293411664,0.0025226085881380517,1.0612023904499179e-4,-0.002468911358664419,0.0025301687495705738,1.6907274750587497e-4,436,498,451.9999999999999,0,28.585294723510742,4.063654068476061,13,65,28.999999999999996,10,65,18.999999999999993,0,35,7.000000000000002,0,24,3.0000000000000027,-2.094477775060422,2.5671019874221837,0.1738827550660605,-1.792082707086755,2.2214111603244624,0.328120959136582,-2.33457994969885,2.3019405618585633,0.10958342242006482,-1.9882696935387947,2.6666666665115217,0.04839282218394976
NLA06608-1326,-0.0011140709202167522,0.0019056975482331124,8.293078362982182e-5,-0.0015236502052088437,0.0015952419189714205,2.31049695879461e-5,410,431,419.99999999999994,0,17.965442657470703,3.0907383598490554,11,27,17.999999999999993,9,23,12.999999999999993,0,17,6.000000000000002,0,12,3.000000000000001,-1.3588574816189907,2.0274323063563164,0.0068256123390911866,-1.7233416974637485,3.735972075445209,0.1685043096824349,-2.0841023783008037,1.788493126133401,0.0702443411839428,-2.6666666665115217,2,0
NLA06608-1198,-0.0014770801611184478,0.0023401600483211474,8.363272864425477e-5,-0.0012792416866433897,0.0021340359186746995,3.708799233800366e-5,400,418,409.00000000000006,0,15.918413162231445,2.8438190039264586,10,41,19.999999999999996,8,30,13,1,16,5,0,12,2,-1.7852350979012614,2.045610252582557,-0.24302315864698554,-2.091256639385408,2.5794082551706348,0.17062587138336865,-1.9932894080889878,2.133760474556843,0.10940656795010432,-1.9245008972987745,1.7638342074057132,0.05537213315596236
NLA06608-0174,-8.047957385248396e-4,0.0015154717086007395,7.76901253159927e-6,-0.0014770195811279598,0.0011110576003719,-1.4414706893161092e-4,362,388,371.00000000000006,0,20.369993209838867,3.0859216603098263,11,43,22.000000000000004,7,27,16,1,21,5.999999999999998,0,15,2,-1.219443789685435,2.5885285990952,-0.16381950284691082,-1.1861622567110959,2.294920341313247,0.024120263724400796,-2.180820900263951,2.153158652494051,0.04872510288245384,-2.13333333334326,1.8490006540509392,0
NLA06608-1070,-5.987753640879763e-4,8.456924672094485e-4,1.0324915295129812e-5,-6.475304537038603e-4,6.509623995191189e-4,-8.715832831356474e-5,326,342,332.99999999999994,0,9.19041633605957,1.8543341159820568,7,19,12.000000000000007,3,17,9.999999999999993,0,11,3.0000000000000013,0,7,2,-1.7692598750825594,1.9708699108324435,-0.024120964234014074,-1.823788057423696,2.6853633842801727,0.140474523320361,-2.4133899217943937,2.561489602055699,0.07565414853310745,-2.6666666666861447,2.6666666666861447,0
NLA06608-0558,-0.0014843106392272594,0.0016982425281583272,2.4524126608416836e-5,-0.0017230983768826078,0.0015500545016729557,-1.9095388679376765e-4,398,430,407,0,19.027565002441406,3.908186104124371,16,38,25,12,31,19,0,17,6.999999999999998,0,14,2.999999999999999,-1.6695297970087741,1.776483887094094,-0.42741528045949667,-1.451424082444201,2.5775962704723305,-0.0765414136171824,-2.2569761906476944,2.1193403340457864,-0.0175650862338348,-2,2,1.9750999543323154e-4
