lagoslakei,area,perimeter,bbox_lw_rat,dist_pole,SDI
"8144",452478.729492187500000,4643.288595057902057,1.129,109.077052873215,1.947
"89946",905314.487792968750000,9929.349844535776356,1.099,144.970263951994,2.944
"8143",7340750.338867187500000,76502.003039521339815,4.945,168.433811933801,7.965
"8146",402842.743652343750000,4159.949756350574717,1.861,101.777208593596,1.849
"8145",1757081.626953125000000,18672.284142937885917,2.028,118.272050045033,3.974
"8140",581674.512695312500000,5981.574114086264672,1.083,108.282396923742,2.212
"8139",608210.726562500000000,6237.917729764130854,1.880,112.635783683539,2.256
"8142",881926.498535156250000,8995.496733534742816,2.461,107.312253109335,2.702
"8141",1203209.860351562500000,13199.279505346661608,3.014,109.624281491961,3.394
"8136",815883.935058593750000,8384.484655432544969,2.348,104.27968898627,2.619
"8135",2197573.969238281250000,22737.562629821590235,2.227,131.751070181715,4.327
"8137",394862.650878906250000,4050.918725518802603,1.239,108.124622381834,1.819
"8164",1547945.845214843750000,16201.193301396535389,1.302,121.135359999654,3.673
"8163",2498515.580078125000000,28286.418894154103327,2.186,140.212684691048,5.048
"8166",2646166.400390625000000,28723.672160467234789,2.418,185.664858267172,4.981
"8165",550820.992187500000000,5673.697213616560475,1.564,113.981863826675,2.157
"8160",3653211.587402343750000,38330.721243068976037,2.822,114.106613831685,5.657
"8159",2129027.852539062500000,22441.649752729314059,1.313,127.41355688245,4.339
"8162",1301419.267578125000000,13503.142110400252932,2.123,111.499205865528,3.339
"8161",1518194.035644531250000,16209.049001154176949,3.879,110.457485060596,3.711
"8156",559056.643066406250000,5752.158266096221269,2.196,112.757221211637,2.170
"8155",1555801.449707031250000,16428.546895625222533,2.817,118.45651581263,3.716
"8158",1524278.274902343750000,16847.938540715280396,2.553,112.258304409056,3.850
"8157",905970.201171875000000,9307.279933593719761,2.444,107.080419979869,2.758
"8152",1333218.283691406250000,13724.385892265076109,1.501,111.05524359885,3.353
"8151",1419349.603027343750000,14557.912585424412100,1.980,149.450593011896,3.447
"8154",793485.328125000000000,8393.375047659588745,1.803,116.43317507929,2.658
"8153",3404999.351074218750000,35682.627500222588424,2.452,155.33231125803,5.455
"8243",311083.150390625000000,3230.508107767265301,1.211,105.80787466032,1.634
"4",389291.206542968750000,3985.086328255684748,1.305,110.231851788962,1.802
"8245",1128305.314941406250000,11645.642542870125908,1.672,108.282064065547,3.093
"3",1144587.753906250000000,12223.807648875193991,2.558,130.588674540415,3.223
"6",986785.207519531250000,10198.104053112827387,1.832,123.201219115405,2.896
"8239",1212108.482910156250000,12715.188620077482483,2.353,128.964531952434,3.258
"5",501260.471679687500000,5123.473312476648061,1.798,111.024716574929,2.041
"8242",4171816.953125000000000,45857.642837344435975,6.123,131.696113001863,6.334
"2",613304.410400390625000,6439.485985949775568,1.217,111.871713853764,2.320
"8235",2603004.279296875000000,27145.612166954095301,1.744,124.789247921702,4.746
"1",1274215.015625000000000,14718.545604716262460,2.417,110.874647049297,3.678
"8238",2607022.977539062500000,27629.008628253115603,3.344,163.595494740961,4.827
"8237",513953.253906250000000,5283.187015220968533,1.169,110.095114087575,2.079
"8232",2990608.737304687500000,32283.780371676530194,2.444,166.307435231059,5.266
"8231",2894942.420410156250000,31271.822138300827646,1.582,187.461122266976,5.185
"8234",2470558.164550781250000,25325.461904414012679,1.038,158.457136931718,4.545
"8233",530895.372070312500000,5443.864457943621346,1.480,108.332406404589,2.108
"8256",519090.077636718750000,5296.097565059466433,1.934,106.358776646736,2.074
"8255",8139815.703125000000000,86655.813195336668286,3.966,131.503046038499,8.568
"8252",2669819.589355468750000,28037.266293737364322,2.022,144.607366015169,4.840
"8251",643019.766113281250000,6610.705368599308713,1.868,110.440000786138,2.326
"8254",1334217.450683593750000,14004.458312712078623,4.014,111.92193842715,3.420
"8253",1447743.351562500000000,14767.024021285888011,3.436,108.854991558298,3.462
"8248",914455.827636718750000,9530.363759249776194,1.874,133.484747924386,2.811
"8247",5123718.519042968750000,57184.850754110753769,2.997,163.588604958406,7.127
"8250",730416.201660156250000,8060.088884836955913,1.741,111.106118886975,2.660
"8249",2401476.126464843750000,24425.279129989910871,1.524,132.596149503439,4.446
"8212",844373.809082031250000,8721.491146210997613,1.264,110.904507386076,2.677
"8211",315340.575195312500000,3251.974074769849267,1.178,107.025562146878,1.634
"8214",1904248.302246093750000,20398.705638252860808,1.929,119.11108154843,4.170
"8213",1293880.357910156250000,13784.409019723303572,1.990,121.841364230336,3.419
"139072",359234.385375976562500,3756.374633858546076,1.414,104.84447580749,1.768
"8208",632985.693359375000000,6990.257586965238261,1.425,111.690093268058,2.479
"8207",1864090.722167968750000,18855.204490967291349,2.117,168.386132192802,3.896
"8210",1317.171386718750000,308.744818815518556,2.002,109.29970044623,2.400
"139073",926086.234497070312500,9539.899619148334750,1.768,121.388525585789,2.796
"8209",330905.467773437500000,3412.747203423240080,1.553,99.9470157315492,1.674
"8203",936275.013183593750000,9683.178342677470937,1.795,112.687730693358,2.823
"81860",899769.291687011718750,9737.595046360827837,1.049,123.607247909405,2.896
"8206",3401607.224121093750000,35667.995341321759042,2.790,150.836209611196,5.455
"8205",2523285.711914062500000,26363.036477819041465,1.651,134.491938214195,4.682
"8199",3912078.010742187500000,41445.893530640343670,4.224,170.41241605694,5.911
"8202",634742.274902343750000,6526.023623193123058,1.581,112.768566058683,2.311
"8201",1849485.954101562500000,19168.225058525022177,1.856,114.586546953864,3.976
"8228",630421.599121093750000,6520.600812979094371,1.409,105.103794288361,2.317
"8227",1237675.349609375000000,12578.172719625392347,3.573,114.373337792007,3.189
"8230",580074.254882812500000,5925.328073140452034,1.590,110.889760705245,2.195
"52",1172836.862548828125000,12370.535003260174562,2.800,116.856113861082,3.222
"8229",3097329.626464843750000,32504.196143571956782,2.712,139.430776830959,5.210
"51",698999.438720703125000,7102.374473167752512,1.858,119.556484545912,2.396
"8224",2142675.212402343750000,22373.303235684157698,1.010,136.386643278822,4.312
"54",706961.536865234375000,7267.251049122907716,1.575,107.427833453281,2.438
"8223",2368452.565429687500000,24522.033170288403198,2.713,118.668714201089,4.495
"53",1436649.808105468750000,15695.373748237114341,2.206,114.220043717053,3.694
"8226",1163027.711425781250000,13588.715905443910742,2.036,119.31786773367,3.555
"48",2689198.767089843750000,28369.751185465844173,3.936,114.447637350005,4.880
"8225",364563.752441406250000,3760.319564992358210,1.265,106.212618729751,1.757
"47",1780109.896972656250000,18652.741379665749264,2.625,128.104331771036,3.944
"8220",285254.796875000000000,2943.217743893063925,1.310,100.507346175856,1.555
"50",1116207.409667968750000,11804.503939282782085,2.231,117.763435449441,3.152
"8219",3340362.677246093750000,35914.943461849077721,1.188,123.458365635912,5.543
"49",617876.323242187500000,6616.257346698003857,1.460,109.649348295525,2.374
"8222",1098830.501464843750000,11266.257165269849793,1.815,121.325363341277,3.032
"44",1006579.022460937500000,10574.628729099058546,2.051,120.320114250421,2.973
"8221",2325405.224121093750000,24689.728865479642991,2.320,117.426165893841,4.567
"46",1728956.626953125000000,18177.115094332610170,1.699,123.276746635505,3.900
"8215",910583.831542968750000,9411.804390038108977,1.234,139.565263165424,2.782
"45",526202.233398437500000,5555.080045833870827,1.264,111.035692952065,2.160
"8218",1089362.438476562500000,11319.917559704252199,2.367,109.43393933968,3.060
"40",431440.543945312500000,4459.085262982725908,1.219,106.231763301881,1.915
"8217",871617.456542968750000,9037.172036918895174,2.037,125.026486068998,2.731
"39",1603290.716308593750000,17418.508657834881888,1.582,136.291537473988,3.881
"8308",680415.100585937500000,7268.530334725005559,1.611,111.607464021616,2.486
"42",428232.779785156250000,4398.819201932578835,1.469,101.993250743934,1.896
"8307",619075.611328125000000,6713.981251466870162,1.202,114.581984339197,2.407
"41",1495537.006835937500000,16083.972321476810976,1.119,127.29549984043,3.710
"8310",599750.261718750000000,6273.784715428915661,1.132,113.135357521942,2.285
"8309",410966.058105468750000,4239.310953688011978,1.210,108.910508520075,1.865
"68",350949.280822753906250,3645.937263405154681,1.595,103.051636420055,1.736
"57278",608723.795288085937500,6519.015111118520508,2.232,107.334456072334,2.357
"67",946852.883758544921875,9707.841993235346308,1.196,134.406591637616,2.814
"8303",2154837.005859375000000,22187.352825441332243,2.089,124.700415935231,4.264
"8306",1059992.096679687500000,11031.720234947686549,2.512,121.484330419833,3.023
"69",546082.751464843750000,5578.908645434534264,1.380,126.872624321159,2.130
"8305",568629.464355468750000,5599.151804169360730,1.302,167.205634213387,2.095
"8300",1166959.147949218750000,12243.241819627986843,2.044,127.36504450696,3.197
"8299",8470643.605957031250000,88255.165582038200228,1.508,156.68904381321,8.554
"8302",370226.062011718750000,3899.018723609493009,1.019,108.235831001122,1.808
"65",595286.071166992187500,6854.358992223494170,1.146,110.763052349013,2.506
"8301",549324.646972656250000,5704.467443028821435,1.268,112.511080038517,2.171
"8296",437609.519531250000000,4568.123277265908655,1.615,114.594288667497,1.948
