NLAID,deviation_100_max,deviation_100_median,deviation_100_min,deviation_100_p70,deviation_100_p80,deviation_100_p90,deviation_1000_max,deviation_1000_median,deviation_1000_min,deviation_1000_p70,deviation_1000_p80,deviation_1000_p90,deviation_500_max,deviation_500_median,deviation_500_min,deviation_500_p70,deviation_500_p80,deviation_500_p90,relief_100_max,relief_100_median,relief_100_min,relief_100_p70,relief_100_p80,relief_100_p90,relief_1000_max,relief_1000_median,relief_1000_min,relief_1000_p70,relief_1000_p80,relief_1000_p90,relief_500_max,relief_500_median,relief_500_min,relief_500_p70,relief_500_p80,relief_500_p90,slope_max,slope_median,slope_min,slope_p70,slope_p80,slope_p90,vcurv_max,vcurv_median,vcurv_min,vcurv_p70,vcurv_p80,vcurv_p90,maxdepth,dist_pole
NLA06608-1958,122,39.999999999999986,3,49.999999999999986,57.00000000000002,66.99999999999999,475,222.48503010730673,91,256.46559500142,280.5298295933861,312.4938461887169,303,158.48044958677684,28,182.49475828276783,196.48933570883167,214.5358075275131,122,39.999999999999986,3,49.999999999999986,57.00000000000002,66.99999999999999,475,222.48503010730673,91,256.46559500142,280.5298295933861,312.4938461887169,303,158.48044958677684,28,182.49475828276783,196.48933570883167,214.5358075275131,1.93579122636784,0.4026779898638125,0,0.5189304326843067,0.6055126476009913,0.7303031389144965,0.007331373518818867,-0.001068931248891872,-0.008081222179675126,-2.8297321481494203e-5,5.140394059002893e-4,0.0013099841481002661,43.8,572.7040662024048
NLA12_IN-113,32,9,0,12,14.000000000000002,16,55,30,13,34.00000000000001,37,41,51,25.00000000000001,7,30.00000000000001,32,35.00000000000001,32,9,0,12,14.000000000000002,16,55,30,13,34.00000000000001,37,41,51,25.00000000000001,7,30.00000000000001,32,35.00000000000001,0.5316998684471896,0.08108773807932187,0,0.11555541578177099,0.15188680165812332,0.19723265788861352,0.002759448847682873,4.572442291933008e-5,-0.0024923307938916443,3.5121931725837365e-4,5.653025518663687e-4,9.619934812483959e-4,25.6,546.2397080407487
NLA12_NY-0101,61,12.000000000000007,0,16,19.000000000000018,24.000000000000004,246,99.00000000000001,29,119,135.00000000000006,161,186,57.999999999999986,7,73.0610489161757,83.99999999999996,104.00000000000001,61,12.000000000000007,0,16,19.000000000000018,24.000000000000004,246,99.00000000000001,29,119,135.00000000000006,161,186,57.999999999999986,7,73.0610489161757,83.99999999999996,104.00000000000001,0.999770612591324,0.13516654335273098,0,0.19039281930618224,0.2283785612043021,0.2947779041203516,0.0030212318411615997,-2.8948393556109414e-4,-0.004709916563800695,1.493469338461033e-5,1.9733147223301772e-4,4.4299650653388317e-4,43,908.5131680589784
NLA06608-1355,22,5.000000000000003,0,6.999999999999999,8,10,44,19.000000000000004,9,22.999999999999996,25.000000000000004,29,34,14.000000000000004,5,17,18,21,22,5.000000000000003,0,6.999999999999999,8,10,44,19.000000000000004,9,22.999999999999996,25.000000000000004,29,34,14.000000000000004,5,17,18,21,0.48468936562147136,0.048561876466389285,0,0.06731264444430736,0.08698398656244564,0.10804212228297923,0.001916864121356448,-1.0719562489065434e-4,-0.002033256961559926,1.0547550941796795e-4,2.273293772187167e-4,4.7170924696730637e-4,25.8,1026.975287731727
NLA06608-0587,14,4,0,6.000000000000004,6.000000000000004,8,24,13,6,14.000000000000025,15.000000000000002,16,22,10,3,12.000000000000016,12.999999999999996,13.999999999999986,14,4,0,6.000000000000004,6.000000000000004,8,24,13,6,14.000000000000025,15.000000000000002,16,22,10,3,12.000000000000016,12.999999999999996,13.999999999999986,0.29648029975208023,0.04304457827104096,0,0.05347744179315654,0.06717227529565449,0.0915458250640262,0.001672459965821205,-1.0038558764254597e-4,-0.0011586663910741273,6.958269323603295e-5,1.7450301905606484e-4,3.735081019013615e-4,7.6,785.2472897123257
NLA12_CT-115,26,8.999999999999998,2,10.999999999999998,12.000000000000002,13.999999999999996,100,45.99999999999999,21,52.00000000000001,57.00000000000001,65.99999999999999,57,29.999999999999996,10,34,35.99999999999999,39.99999999999999,26,8.999999999999998,2,10.999999999999998,12.000000000000002,13.999999999999996,100,45.99999999999999,21,52.00000000000001,57.00000000000001,65.99999999999999,57,29.999999999999996,10,34,35.99999999999999,39.99999999999999,0.49033601672226623,0.08379087621893638,0,0.11315060936480108,0.13407207913181407,0.16906328249287172,0.0011769343998982032,-1.2929857818699345e-4,-0.0016246665593233726,3.698339509641492e-5,1.7205766944589887e-4,3.7556201957159724e-4,6.7,316.7352965802288
NLA12_IA-103,18,9.000000000000004,3,11.000000000000002,13.000000000000004,14.000000000000004,29,22,16,23.000000000000004,24.000000000000004,26,25,17.000000000000004,13,19,20,22,18,9.000000000000004,3,11.000000000000002,13.000000000000004,14.000000000000004,29,22,16,23.000000000000004,24.000000000000004,26,25,17.000000000000004,13,19,20,22,0.24712123790006638,0.06825483269932431,0,0.11674546080943822,0.13650992707052198,0.16443537332363584,0.001736944069248799,-1.4397611081063796e-4,-0.0015153222534325175,1.5101048062344778e-4,3.7021342581807686e-4,5.881860007687734e-4,6.2,69.72571274628505
NLA12_MI-133,20,11.000000000000002,3,13.999999999999998,14.999999999999998,17,34,27,18,30,31.000000000000004,31.000000000000004,33,23,16,25,25.999999999999996,27.000000000000007,20,11.000000000000002,3,13.999999999999998,14.999999999999998,17,34,27,18,30,31.000000000000004,31.000000000000004,33,23,16,25,25.999999999999996,27.000000000000007,0.3226594244438102,0.09671987084003565,0,0.15856052353537944,0.18843419835247385,0.25487811684967715,0.001939821872520292,-2.3439356102015452e-4,-0.0019670115740645236,2.4402497358181098e-4,0.0010645421100611452,0.0014804380895753484,7.7,110.31513571118846
NLA06608-1695,18,6.999999999999999,1,8,9,11,238,132,66,169,173,188,80,37.99999999999999,14,65,74.99999999999999,77.00000000000003,18,6.999999999999999,1,8,9,11,238,132,66,169,173,188,80,37.99999999999999,14,65,74.99999999999999,77.00000000000003,0.2247118347496292,0.07186371322001918,0,0.09149017979514508,0.10612511940372153,0.1211150261012842,8.27225380667423e-4,-1.4074363245533697e-4,-0.0010819957285056415,1.9141131667186636e-5,8.032235164036885e-5,2.2379985542275656e-4,8,134.73234827072474
NLA12_WI-188,19,5.999999999999999,1,8,9,13.000000000000002,25,20.000000000000007,12,21,21.999999999999993,21.999999999999993,22,18,8,19.000000000000004,19.000000000000004,20,19,5.999999999999999,1,8,9,13.000000000000002,25,20.000000000000007,12,21,21.999999999999993,21.999999999999993,22,18,8,19.000000000000004,19.000000000000004,20,0.4199322450943486,0.04726312444451438,0,0.0812315341896246,0.10450612977912412,0.1435596907061136,9.823728285140946e-4,-2.8438216876930654e-4,-0.0011884642848736342,-6.782532632025605e-5,8.23286114573737e-6,4.082847075685351e-4,2.8,130.84518410662577
NLA12_ID-107,11,5.000000000000001,1,6,6,8,27,17.999999999999993,13,20.000000000000004,22.000000000000007,23,21,13.000000000000004,9,14.999999999999998,14.999999999999998,16,11,5.000000000000001,1,6,6,8,27,17.999999999999993,13,20.000000000000004,22.000000000000007,23,21,13.000000000000004,9,14.999999999999998,14.999999999999998,16,0.13777689308052402,0.04744895313345693,0,0.06593583327071628,0.06862523630258315,0.08395245930566697,7.925311789428737e-4,3.484581066215441e-5,-8.257753071372211e-4,1.536533215778513e-4,2.1756342125114862e-4,3.4863548416943395e-4,3.6,211.05616669373626
NLA12_WA-118,23,6.000000000000001,2,8,9,11.000000000000002,134,123.99999999999999,110,128,128.99999999999997,131,122,62.99999999999999,47,99,108,110.99999999999999,23,6.000000000000001,2,8,9,11.000000000000002,134,123.99999999999999,110,128,128.99999999999997,131,122,62.99999999999999,47,99,108,110.99999999999999,0.220448014601351,0.05412111766666186,0,0.07348186039719518,0.08657893165869286,0.10719769450444855,9.823193790367297e-4,-3.3967038123172916e-4,-0.0019214241907885181,1.1299163123877859e-4,2.451329600850033e-4,4.477855996775126e-4,5.1,86.40033098893815
NLA06608-0025,25,13,4,15,16,18,49,35,24,37.99999999999999,39.99999999999999,42,45,26.999999999999996,18,29.99999999999999,32,34.00000000000001,25,13,4,15,16,18,49,35,24,37.99999999999999,39.99999999999999,42,45,26.999999999999996,18,29.99999999999999,32,34.00000000000001,0.32957660050741194,0.1280856923095956,0,0.1590417852150637,0.18071377116581486,0.21527266445933307,0.0016239454183090934,5.238788913320837e-5,-0.0017850782170020917,3.5954212687567015e-4,6.633397920578561e-4,8.771657875283895e-4,7.1,111.68633201640837
NLA12_VT-112,31,17.000000000000004,3,20.999999999999996,23,25,228,145,85,175,196.00000000000003,215,115,68,27,83,89,102.00000000000001,31,17.000000000000004,3,20.999999999999996,23,25,228,145,85,175,196.00000000000003,215,115,68,27,83,89,102.00000000000001,0.5865531876583658,0.14951909617325,0,0.22759692117377556,0.2603194093624021,0.3019214618483447,0.0018238651669166405,1.9632305705420894e-4,-0.00260831270984897,7.474810521923346e-4,0.001024216361358786,0.0013484744004104727,4.199999999999999,103.2498425512263
NLA12_CO-125,26,13,2,16,18,19,104,83.99999999999999,54,92,94.99999999999999,97,82,58,22,64,67,71,26,13,2,16,18,19,104,83.99999999999999,54,92,94.99999999999999,97,82,58,22,64,67,71,0.29211957594703986,0.11445839485408554,0,0.14717900593287783,0.17359528252287768,0.19869611587933128,0.0017291176373299317,6.957736618391178e-5,-0.0013720531081647122,5.688869751557837e-4,8.822138140416419e-4,0.0012871473944242422,6.5,56.59077998687182
NLA12_IL-120,18,6.999999999999999,2,8.999999999999998,10.000000000000004,11.999999999999998,40,32,24,34.00000000000001,35,36,29,20,15,22.000000000000004,23.999999999999996,25,18,6.999999999999999,2,8.999999999999998,10.000000000000004,11.999999999999998,40,32,24,34.00000000000001,35,36,29,20,15,22.000000000000004,23.999999999999996,25,0.2798779858176971,0.06414558456628569,0,0.09096172321448577,0.11488809351031076,0.1536576769282364,0.0011245678346918021,1.6106369396821002e-4,-0.0014603017826883137,4.215717362914681e-4,5.366759415252678e-4,7.500958684819385e-4,7,78.67269722013575
