lagoslakeid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
1727,Glaciated,47.01295974,-92.62295667,40102010908,189.4152888,4.775345587
73772,Glaciated,47.46123662,-92.62889043,40102010704,59.62016001,3.034128991
30132,Glaciated,47.47996639,-92.45979369,40102010305,473.0912942,5.39446288
38513,Glaciated,47.10180623,-92.41750445,40102020603,64.15860817,1.792885481
57287,Glaciated,47.10368077,-92.40428992,40102020603,442.9291716,4.25644533
3638,Glaciated,47.21218655,-92.36446009,40102010901,23.45684238,1.125937967
3318,Glaciated,47.20710606,-92.35680473,40102010901,261.056404,3.986349144
3342,Glaciated,47.20708388,-92.34198456,40102010901,219.4361228,2.592489374
119350,Glaciated,47.06093241,-92.03472839,40102020403,41595.42302,545.8154946
5526,Glaciated,46.55532056,-91.45980446,40103010803,82.99637733,2.0400442
5483,Glaciated,46.49174707,-91.34983598,40103020602,54.48460498,4.547868273
5151,Glaciated,46.40336763,-91.26570159,40103020603,141.1325367,5.059376318
2771,Glaciated,46.32558816,-91.26197468,40103020605,1662.18949,77.37436163
5562,Glaciated,46.84963005,-91.19719005,40103010904,1846.424195,72.93015298
4723,Glaciated,46.30077187,-90.90145856,40103020401,58.95558324,4.298774349
4726,Glaciated,46.3622209,-90.78658456,40103020403,224.660533,21.391402
135077,Glaciated,47.9603725,-90.74821087,40101010404,300.1064115,13.39657005
4925,Glaciated,46.27360261,-90.55209874,40103020301,862.7640753,17.39937769
10310,Glaciated,47.96753098,-90.48574638,40101010405,175.1749543,3.474196155
115171,Glaciated,48.02905083,-90.48214056,40101010402,117.7263072,1.626210431
3247,Glaciated,47.89874684,-90.45856973,40101010602,370.1421586,10.38803966
4561,Glaciated,46.41167459,-90.40071675,40103020501,264.87609,10.10826238
4062,Glaciated,47.80823974,-90.39524611,40101010503,92.49782317,8.006306297
1923,Glaciated,48.06749717,-90.05500754,40101010202,761.4483944,10.3458087
1671,Glaciated,46.86646723,-92.29992018,40102011502,1132.69309,5.809132544
5111,Glaciated,46.46761093,-91.74487767,40103010701,3142.32311,17.23986452
4922,Glaciated,46.29357377,-90.82876961,40103020401,3228.892335,35.11537049
3600,Glaciated,47.94833733,-90.77542364,40101010801,458.0521094,6.112283961
21768,Glaciated,47.93366586,-90.78362275,40101010801,332.6272871,3.835050617
1340,Glaciated,47.98644172,-90.69922512,40101010404,394.7752191,3.055715375
1494,Glaciated,47.92127182,-90.71547584,40101010801,422.143862,4.826939466
525,Glaciated,47.85294405,-90.65881916,40101010602,305.3817123,2.905101589
104870,Glaciated,48.00851398,-90.49656072,40101010401,509.919723,6.724897315
2561,Glaciated,48.04901862,-90.23663801,40101010201,232.0153495,2.800112362
71662,Glaciated,48.0846701,-90.20525593,40101010202,1345.754566,4.220154663
2060,Glaciated,48.00020854,-90.19161621,40101010408,1434.03065,1.74964118
1452,Glaciated,47.92583953,-90.06650198,40101010206,1457.666421,8.800016694
131954,Glaciated,47.27273049,-93.07060635,40102010606,169.7132303,8.644442376
4030,Glaciated,47.48352904,-92.83530235,40102010601,127.3108925,1.764307941
805,Glaciated,47.44925214,-92.80999908,40102010601,2031.809337,52.95619021
1682,Glaciated,47.42061873,-92.7694282,40102010504,3388.285903,48.62916935
775,Glaciated,47.4955512,-92.59566151,40102010704,1591.373603,32.31713009
3328,Glaciated,47.14776814,-92.3565483,40102010806,272.7453338,8.512508442
16458,Glaciated,46.99365612,-92.31977933,40102020601,1760.27833,60.17454855
9258,Glaciated,47.32481886,-92.21740915,40102010402,4902.065604,54.84139091
1075,Glaciated,46.98882594,-92.11105442,40102020404,153.0257425,4.134947195
4375,Glaciated,46.47405432,-92.0448726,40103010604,415.51666,7.259579236
1663,Glaciated,47.21984555,-91.8452303,40102020104,199.3592782,2.583389486
116234,Glaciated,47.13700292,-91.82918202,40102020402,226.7240166,13.52704623
5271,Glaciated,46.50359468,-91.42407356,40103010703,435.637757,16.41299979
4753,Glaciated,46.49791242,-91.37486125,40103020602,85.07627347,4.84534875
5476,Glaciated,46.49877663,-91.35720176,40103020602,152.7622568,2.308620756
4551,Glaciated,46.51852965,-91.36188996,40103020602,194.871577,1.87360937
5493,Glaciated,46.52880329,-91.36774987,40103020602,385.4999106,5.211354581
4410,Glaciated,46.44146764,-91.26340416,40103020603,143.0810662,4.389134109
4199,Glaciated,47.36116059,-91.26926399,40101020103,42.69095658,9.081942152
5563,Glaciated,46.36961046,-91.25361649,40103020605,56.47784311,3.152320994
5133,Glaciated,46.3751323,-91.24139323,40103020605,329.4259465,18.80923507
5061,Glaciated,46.28280587,-90.93773784,40103020402,1541.408705,78.47816168
24981,Glaciated,47.91185285,-90.90660345,40101010802,1183.868936,21.03424889
3107,Glaciated,47.69851013,-90.746446,40101010705,2162.679955,36.29594724
578,Glaciated,47.84042774,-90.75205661,40101010701,312.8867333,6.176050697
31219,Glaciated,47.90047468,-90.71912752,40101010801,145.7189045,12.05732459
534,Glaciated,47.9743763,-90.68696367,40101010404,351.7122932,11.00093582
123609,Glaciated,47.97736528,-90.65322617,40101010401,111.1402735,4.283604681
5423,Glaciated,46.28428564,-90.593182,40103020303,250.5338421,2.924224546
1468,Glaciated,47.88956529,-90.49002943,40101010602,175.4883403,15.76928871
4783,Glaciated,46.38965091,-90.43952016,40103020504,151.5471046,7.602863582
92607,Glaciated,47.90080849,-90.43144533,40101010501,248.8687679,3.207694949
1963,Glaciated,47.80543864,-90.40895954,40101010604,67.89704246,7.363313642
3317,Glaciated,47.84696696,-90.3581182,40101010502,114.5894754,2.487204859
5509,Glaciated,46.25798364,-91.14184439,40103020604,486.1543722,3.724214218
1350,Glaciated,47.46794494,-92.35266944,40102010305,435.2685982,2.277683952
1604,Glaciated,47.34468235,-91.29882709,40101020103,1430.654916,12.16387032
2767,Glaciated,47.72182257,-91.01348746,40101010901,528.1513798,2.499351423
4516,Glaciated,46.31849549,-90.81949206,40103020401,778.4514762,36.84877539
60351,Glaciated,47.90119579,-90.7278499,40101010801,487.1172376,9.53866499
1827,Glaciated,47.84086211,-90.73005592,40101010701,554.1826252,5.126976639
33244,Glaciated,47.8247278,-90.69380185,40101010702,1126.401335,7.858228285
3820,Glaciated,47.99208674,-90.59704967,40101010401,845.3960067,2.402126623
486,Glaciated,48.08195985,-90.49460603,40101010101,249.0884356,5.208112515
796,Glaciated,48.06783047,-90.30846929,40101010201,804.6774652,4.307186858
1607,Glaciated,47.9044189,-90.23834892,40101010407,17788.1391,118.3271417
69662,Glaciated,47.20621408,-93.12160163,40102011001,105.8721207,7.031009149
22870,Glaciated,47.24942537,-93.07778484,40102010606,662.0017108,9.994950467
11360,Glaciated,47.2238955,-93.03097974,40102010707,271.2755217,3.013730255
104885,Glaciated,47.52385504,-92.54362087,40102010704,105.2811084,5.86059974
3327,Glaciated,47.40995713,-92.52998694,40102010702,623.4188992,16.93952638
101817,Glaciated,47.29726932,-92.49860237,40102010904,852.3574674,6.235395778
14447,Glaciated,47.49153958,-92.34100313,40102010305,271.5177527,4.493283826
3438,Glaciated,47.37558473,-92.32275836,40102010404,115.2806767,5.539143762
1529,Glaciated,46.97315781,-92.19558523,40102020404,57.02035657,8.719182579
856,Glaciated,47.08564063,-92.07020401,40102020403,1058.057415,13.13815076
130926,Glaciated,47.48737248,-92.05692869,40102010203,39.57491674,6.246944915
4786,Glaciated,46.53368349,-91.44218745,40103010804,429.2522483,4.288878376
4354,Glaciated,46.51735566,-91.37186454,40103020602,35.57675331,2.778553953
3405,Glaciated,46.46554977,-91.35032101,40103020602,77.72392056,12.15181754
4505,Glaciated,46.47835947,-91.3002405,40103020602,104.299537,1.540232232
3377,Glaciated,46.49197015,-91.29538204,40103020602,41.70780135,2.263996695
2291,Glaciated,46.48857309,-91.2893347,40103020602,9.511678697,1.891253662
1794,Glaciated,47.34511248,-91.26875652,40101020501,93.77161155,3.439415967
1022,Glaciated,47.60874193,-91.25382397,40101011001,20.23265132,0.817842508
4677,Glaciated,46.39084448,-91.21874,40103020605,299.0433066,3.565166216
3684,Glaciated,46.54404676,-91.22804288,40103011102,1677.732419,63.00732955
4725,Glaciated,46.29138271,-91.19014624,40103020605,48.82070188,1.905621517
15417,Glaciated,47.62058499,-91.17288832,40101011003,624.4872625,13.46833203
4157,Glaciated,47.47419635,-91.11372448,40101011004,81.63188782,9.467464998
124657,Glaciated,47.93126443,-90.84216288,40101010802,111.9563702,11.70124523
111068,Glaciated,47.85379811,-90.82287971,40101010801,1021.945,26.98530685
3534,Glaciated,47.78654721,-90.78742857,40101010701,595.9086805,6.6866522
438,Glaciated,47.73645938,-90.72903634,40101010702,707.11892,9.07113865
32270,Glaciated,48.0068493,-90.64164699,40101010401,310.8879197,5.161558671
102774,Glaciated,47.73114095,-90.63109734,40101010704,1620.671383,41.49651671
59401,Glaciated,47.99703577,-90.48609624,40101010401,707.3365021,10.9089562
4104,Glaciated,48.05508371,-90.47504928,40101010101,177.1398138,4.274868371
