lagoslakei,hcurv_min,hcurv_max,hcurv_median,vcurv_min,vcurv_max,vcurv_median,elev_min,elev_max,elev_median,slope_min,slope_max,slope_median,relief1000_min,relief1000_max,relief1000_median,relief500_min,relief500_max,relief500_median,relief100_min,relief100_max,relief100_median,relief50_min,relief50_max,relief50_median,dev1000_min,dev1000_max,dev1000_median,dev500_min,dev500_max,dev500_median,dev100_min,dev100_max,dev100_median,dev50_min,dev50_max,dev50_median
6131,-0.001948715,0.002696505,1.35e-4,-0.002218871,0.002809055,-1.37e-5,305,355,324,0,19.91153207,7.832879341,58,110,78,22,73,44,3,21,13,1,13,6,-1.279779451,1.336891483,-0.303032835,-1.6960357,2.038368958,-0.149380684,-1.683673605,1.713065876,0.070047782,-1.500117201,1.763834207,0.038348079
6284,-0.002498296,0.003659664,1.39e-4,-0.003003201,0.002648798,-1.67e-4,275,338,289,0,26.80265419,6.429716664,34,87,66,10,85,41,0,31,12,0,19,5,-1.321209974,1.618965642,-0.321258618,-1.537535975,2.107605613,-0.130796495,-1.794435118,2.306231781,0.046188971,-2.666666667,1.849000654,0.005109043
6459,-7.71e-4,8.93e-4,9.56e-7,-0.001029411,7e-4,-5.06e-5,217,229,220,0,13.75702374,1.558188885,13,30,25,3,26,12,0,11,4,0,10,2,-1.379137319,0.375310007,-0.753713795,-1.690891921,2.800307624,-0.510899459,-1.909580073,1.998514447,2.6e-4,-1.763834207,2,0
6529,-0.002564507,0.002413832,7.47e-5,-0.001832187,0.003187805,-1.56e-5,427,494,455,0,25.53273385,8.384538829,37,99,62,26,77,46,1,38,15,0,21,6,-1.464817777,1.442701409,-0.413822566,-1.158021351,1.61126132,-0.100870797,-1.072236395,2.160485027,0.038460286,-1.414213562,1.777777778,0.024284052
31219,-0.001131123,0.001637285,6.86e-5,-9.75e-4,9.19e-4,-1.11e-5,551,567,558,0,15.16185633,2.915706947,18,38,27,6,29,15,1,12,6,0,10,2,-1.315976528,0.827635873,-0.35007742,-1.841336715,2.379461451,-0.047310813,-1.399476286,1.913166119,0.177776837,-2.666666667,1.763834207,0.078082477
6563,-0.00274737,0.00431041,1.1e-4,-0.003459004,0.004808329,-2.77e-4,269,335,283,0,41.10986115,4.881717446,34,140,98,29,100,58,0,48,9,0,33,4,-1.333313581,3.106524775,-0.640748878,-1.283900214,3.924939566,-0.420111387,-1.855137407,2.008016202,-0.03785733,-1.849000654,1.885618083,6.98e-4
6812,-0.001103114,0.001562506,1.14e-4,-0.001122662,0.001445402,2.47e-5,231,255,239,0,14.57757027,3.120413939,10,25,17,7,24,13,2,15,6,0,13,3,-2.0889013850000002,2.988508237,-0.078185464,-2.191725169,3.347020395,0.137064863,-2.027218862,2.359358385,0.075973342,-1.63784605,1.829318242,0
80500,-0.001253375,0.001962675,1.01e-4,-0.001144787,0.001732515,8.37e-5,274,301,282,0,20.16260526,3.074581473,9,38,21,6,30,13,0,24,6,0,14,3,-1.482586624,3.728623373,0.047952131,-1.555854382,3.871250271,0.329450733,-1.800284816,2.699989708,0.078328256,-1.763834207,1.677685519,1.2e-4
7026,-0.002335159,0.001800543,7.64e-5,-0.001923819,0.00165659,1.46e-4,197,231,216,0,23.95348755,4.163068318,17,40,26,14,33,21,1,25,8,0,20,3,-2.567947039,1.596638614,-0.2361246,-1.877363585,1.372764031,0.132571291,-1.95827593,1.687664057,0.117396331,-1.763834207,1.988269694,0.054291495
31609,-0.003462721,0.003176519,7.5e-5,-0.00353143,0.003330095,1.1e-4,358,386,371,0,27.3756502,5.454016887,14,33,21,12,31,18,0,23,10,0,18,4,-1.183217712,2.153364468,0.366080662,-1.268362103,2.135529041,0.445316031,-2.155475503,1.819743682,0.118125525,-1.885618083,1.619047619,0.052317736
7358,-0.001563741,0.001392083,9.78e-5,-0.001493377,0.001434504,3.8e-5,147,176,164,0,21.07055722,3.677659886,9,29,16,6,25,12,0,17,7,0,16,3,-3.069085281,2.617365041,0.047420501,-2.669623447,2.576395106,0.108425126,-2.079542109,2.527976145,0.046588568,-2.666666667,2.133333333,0
7385,-8.37e-4,8.98e-4,3.37e-5,-0.001175407,0.001070701,-2.21e-5,200,226,206,0,10.80736715,2.678557112,12,31,22,6,27,14,0,15,5,0,7,2,-1.490957352,2.014332062,-0.616205999,-1.802255176,2.135849136,-0.146010332,-2.335929653,1.783500261,0.01028661,-1.924500897,2.666666667,2.68e-4
7595,-0.002269645,0.003050073,2.62e-4,-0.001922984,0.003066712,2.58e-4,30,63,47,0,27.11038553,6.580078536,21,50,31,14,50,23,4,24,12,1,20,5,-1.61496455,2.506449805,0.238438343,-1.788901857,2.371592474,0.326618357,-2.227602714,1.913329881,0.141216423,-2.267786838,1.743589744,0.047288421
48431,-0.001154159,0.001824375,1.02e-4,-0.001556969,0.001790142,3.92e-5,324,348,334,0,19.58439683,3.798054789,12,29,19,9,26,16,1,17,7,0,14,3,-1.480851365,1.482617142,0.008975198,-1.365040548,2.179407851,0.15033578,-2.177509386,1.800284816,0.100144726,-2,2.666666667,0.048163501
7643,-0.00271639,0.003519687,7.66e-5,-0.001849983,0.00281612,1.38e-4,75,112,90.14236268,0,31.1898064,4.627367506,11,76,30,7,51,22,0,28,9,0,23,4,-1.782221601,4.713409824,0.01472063,-1.691310119,3.611340841,0.14168054,-2.206950141,2.854206729,0.108851633,-2.666666667,2,0.046592072
7781,-0.002484554,0.002005379,1.07e-4,-0.002264228,0.002413744,1.98e-4,15,59,41,0,22.02484143,5.778456361,27,64,39,15,43,25,3,24,11,0,16,5,-1.885142247,1.824359787,0.039284133,-2.073243937,2.257521029,0.1440317,-1.841141373,2.043481332,0.132823935,-1.833333333,2,0.070294517
7861,-0.002076131,0.001741922,3.8e-5,-0.002053453,0.001544772,2.28e-5,36,82,44,0,16.59254941,2.623491508,5,69,18,0,54,10,0,19,5,0,11,2,-2.034167213,5.473744701,-0.171174339,-2.822584411,4.37492679,0.077244881,-2.333662282,3.067778265,0.04596186,-2.666666667,2.666666667,1.48e-4
7835,-0.001493685,0.002858831,2.6e-4,-0.001637475,0.002225349,-1.17e-4,159,208,172,0,23.15290046,6.465773502,54,131,89,13,103,40,2,38,11,0,19,5,-1.161630516,1.446076879,-0.381574489,-1.242487583,2.469426006,-0.086988468,-1.672768301,1.803202604,0.040636755,-1.833333333,1.763834207,0
7978,-0.00216369,0.00320532,1.07e-4,-0.002243155,0.003392438,-1.43e-5,310,365,320,0,25.94107598,3.835402177,12,102,33,7,56,18,0,26,7,0,20,3,-1.670104546,2.921206515,-0.32611514,-1.931894976,3.53678348,-0.045725916,-2.38275136,2.499255562,0.078879529,-2.666666667,2,0.001288155
8007,-0.001382123,0.002346377,8.43e-5,-0.001818853,0.001709982,3.85e-5,48,92,62,0,19.48779818,4.013084592,15,58,33,10,52,20,0,21,8,0,14,3,-1.488546459,1.599235779,0.024189372,-1.427599559,2.403732949,0.117721438,-2.366761104,2.116636962,0.079375088,-1.885618083,2,0.053353537
8027,-0.00174689,0.001640559,1.14e-4,-0.002246162,0.002343861,-1.42e-5,93,146,106,0,21.02769091,4.627367506,24,141,74,13,84,37,0,35,9,0,16,4,-1.397339194,1.953853696,-0.364567191,-1.313769315,2.147895406,-0.149849018,-1.74884568,2.050059969,0.040553814,-2.666666667,2,0.002590883
8192,-0.001327649,0.001605752,6.87e-5,-0.001226075,0.001506413,5.34e-5,110,131,119,0,18.13648438,2.623288496,9,62,27,5,39,12,0,16,5,0,12,2,-1.287182146,2.119011878,-0.117745981,-1.869394122,3.371985869,0.110290001,-2.376312635,2.15685582,0.109072702,-2.666666667,2.666666667,0.051247822
8150,-0.00205441,0.00399372,7.85e-5,-0.003081682,0.003854245,-1.66e-4,98,179,111,0,31.18258157,5.298182895,26,115,83,12,114,37,0,40,10,0,22,4,-1.159008136,1.729832023,-0.414408073,-1.303157924,2.365481619,-0.243002685,-2.249824239,2.058772778,0.010948092,-1.924500897,1.885618083,4.18e-4
8207,-0.002753228,0.002390576,1.07e-4,-0.002975033,0.002710465,4.46e-5,41,82,51,0,22.2484676,3.906917216,13,60,28,9,55,18,0,23,7,0,16,3,-1.500794779,1.87195966,-0.102026717,-1.829819937,2.380565444,0.048196607,-2.199648972,1.944192969,0.079304633,-2.666666667,2.133333333,8.22e-4
99065,-0.001006436,0.001236468,-5.65e-6,-0.001577702,0.001219465,-6.84e-5,138,169,155,0,12.92491598,3.654747738,21,42,26,13,33,20,3,16,7,1,8,3,-1.711744303,1.31878952,-0.210635139,-2.183962868,1.604275191,-0.178105955,-2.149476068,2.0988417,-0.07297478,-2.121320344,1.547479629,0
33958,-8.25e-4,9.96e-4,2.54e-5,-7.48e-4,8.76e-4,3.46e-5,415,436,423,0,8.40018452,2.311342044,11,28,14,6,22,11,1,12,4,0,6,2,-2.494447129,3.091618734,0.011855829,-2.305776325,2.513535667,0.016479472,-2.279334048,2.0712631,-0.020094919,-2.666666667,1.763834207,0
99432,-0.001972408,0.002384055,1.45e-5,-0.001934458,0.002144322,1.36e-4,443,474,458,0,23.08549095,5.386241231,15,38,22,13,31,19,2,22,9,0,16,4,-2.183804475,2.038631501,-0.206098267,-2.077385981,1.788767438,-0.006937075,-1.761747815,1.844446546,0.085241501,-1.849000654,2.141213516,0.001702055
92954,-0.002999229,0.002374499,2.28e-4,-0.00252926,0.002309775,7.51e-5,125,167,145,0,31.73243881,6.021438072,17,44,28,13,40,24,1,32,12,0,25,5,-2.573820018,1.878058639,-0.07618609,-2.922316069,2.099752841,0.111152861,-1.929816565,1.912533753,0.10209054,-1.849000654,1.849000654,0.054510502
52410,-7.19e-4,0.001159449,2.65e-5,-0.001449171,0.00135706,-5.51e-6,231,260,244,0,12.46678963,2.214306079,16,32,17,8,22,15,1,16,5,1,8,2,-1.610563242,2.576174144,0.169873352,-1.152177411,3.040414508,0.01527665,-2.04941184,2.220682755,0.016229712,-2.033314271,1.763834207,0
77610,-0.00129207,0.001991672,1.14e-4,-0.001577082,0.002080743,2.25e-5,414,441,423,0,16.07696249,3.281292018,12,36,20,6,29,15,0,21,6,0,12,3,-1.562227311,3.858438292,0.043411344,-1.702119564,3.965094174,0.140441768,-1.938437328,1.882882272,0.08652322,-2.666666667,1.849000654,8.23e-4
70058,-0.002157725,0.002731746,1.71e-4,-0.002052986,0.001973408,7.4e-5,343,386,356,0,22.65951245,4.566189235,19,50,30,8,40,21,2,28,10,0,17,4,-1.590407095,2.052725114,-0.085252822,-1.604324707,2.21286368,0.194182576,-1.689292846,1.8516402,0.086050187,-1.849000654,1.885618083,0.039020459
12940,-9.71e-4,0.001435484,2.19e-5,-9.76e-4,0.001872189,1.6e-4,218,238,229,0,16.11912604,3.06982006,13,26,17,11,25,17,2,19,6,0,10,3,-1.838937435,2.847756201,0.709736639,-1.106858931,2.567894454,0.63459624,-1.736959132,1.974500994,0.131950344,-2,1.833333333,0.071058317
5021,-0.002221521,0.002547849,1.07e-4,-0.002141446,0.002673252,2e-4,484,515,499,0,23.95971838,4.398730556,12,34,20,9,30,17,0,25,9,0,19,4,-1.749981997,2.408677122,0.389306081,-1.77097708,3.134065337,0.453804285,-2.329095929,1.98101028,0.170983168,-1.924500897,2,0.069613972
