NLAID,area,perimeter,SDI,bbox_lw_rat,dist_pole
NLA06608-0514,33473806.5114746,191638.086284024,9.344,4.093,628.6660152801618
NLA06608-1821,127105.017578125,2148.41548924056,1.7,4.614,103.21908384617625
NLA06608-1389,525876.671386719,8000.64409323665,3.112,3.823,101.18390693693456
NLA06608-2333,272760.568115234,3812.61153121471,2.059,2.548,131.19843082001685
NLA06608-1538,856689.702392578,7640.15421632336,2.329,3.561,210.6603001808324
NLA06608-R32,1320576.24365234,13750.048021211,3.375,2.164,219.5015038371132
NLA06608-R315,200846.134765625,1937.94886094539,1.22,2.246,170.80204279420573
NLA06608-0541,101117.362060547,1956.65745973,1.736,2.993,82.2878783706935
NLA06608-0493,2889179.4074707,26983.4182985246,4.478,1.509,286.27101866735677
NLA06608-1517,237864.625244141,4829.22326865234,2.793,2.953,77.72455816798195
NLA06608-0489,216275.224121094,3185.49998824994,1.932,1.129,144.6642318717025
NLA06608-0749,154487.471191406,4202.06281439295,3.016,2.299,63.940494121853206
NLA06608-1005,65761.44140625,1491.74402566657,1.641,3.073,69.32415330219645
NLA06608-R333,797240.16015625,16033.8496641458,5.066,1.429,146.58633929605227
NLA06608-R326,4332758.28881836,56904.703870091,7.712,1.572,275.154504614766
NLA06608-0221,184327.529785156,3745.40720565348,2.461,3.768,82.0637237986459
NLA06608-R324,3598777.59887695,53316.2828162826,7.928,1.643,276.2318385255685
NLA06608-0045,288381.927246094,4086.37872000772,2.147,3.355,153.96630192700772
NLA06608-R314,466524.49609375,5920.2378140005,2.445,2.391,143.49097784219222
NLA06608-0153,342782.762451172,4183.52505152489,2.016,2.865,146.9904749982698
NLA06608-R323,2591218.9440918,44948.0495122552,7.877,2.544,277.54739055950785
NLA06608-ALSC:020149,1405356.68310547,12755.2619913745,3.035,1.77,222.4864066036552
NLA06608-0781,227240.495605469,2950.43564699966,1.746,3.507,166.2195263954795
NLA06608-0013,371402.696777344,8284.67995767248,3.835,5.782,112.2293687930235
NLA06608-R319,270052.831054688,3760.84726721982,2.042,2.356,171.66047562593258
NLA06608-0177,411263.211425781,3479.40365972748,1.531,3.506,191.94115012425752
NLA06608-1101,1287928.95336914,7996.47749361272,1.988,3.332,290.39232478276875
NLA06608-1421,822649.465087891,8914.8050309523,2.773,1.235,218.52543390561507
NLA06608-R31,1138823.28930664,12080.5674840387,3.193,1.943,204.05289015369596
NLA06608-R334,828147.8359375,10074.6236636322,3.123,6.666,197.7511896934889
NLA06608-0053,4709097.42578125,23491.5412827884,3.054,4.147,442.47745061875264
NLA06608-0433,1050052495.40332,933182.585040487,8.124,6.918,4484.595821485955
NLA06608-0333,9207200.56298828,16383.7012325313,1.523,1.946,1166.233462445369
NLA06608-R318,283774.201904297,4960.12481968276,2.627,1.342,125.58119496677898
NLA06608-R322,11706223.4614258,139199.855501808,11.477,2.04,414.8611647219346
NLA06608-0345,110427.045410156,2138.34826941285,1.815,4.068,89.26663703773646
NLA06608-0989,342910.650634766,5535.70839172351,2.667,2.979,138.25285042477978
NLA06608-0413,85577.2863769531,1751.20353016655,1.689,2.916,72.85645824489039
NLA06608-1245,3829392.71777344,8648.14057862851,1.247,1.243,802.8924235231414
NLA06608-0217,551954.544433594,9784.49329662572,3.715,1.611,140.8192339510739
NLA06608-1181,207554.604736328,2884.2668498265,1.786,1.687,114.82430784972016
NLA06608-0857,5012487.53149414,37337.4749130999,4.705,1.886,468.0815763581322
NLA06608-1369,1633513.41699219,12293.8044648275,2.713,1.079,283.44160648447786
NLA06608-1177,173347.535644531,2913.39318608227,1.974,1.341,124.5644450126232
NLA06608-0473,9090344.80456543,71863.6955598356,6.724,2.69,329.37521231226003
NLA06608-0057,530285.693481445,9688.98546664562,3.753,1.32,130.88652628961967
NLA06608-0281,950282.139892578,11620.0422627929,3.363,3.169,191.99902626839503
NLA06608-0313,156236.820800781,2023.70218570142,1.444,2.95,114.45290359554787
NLA06608-1113,15589984.559082,152522.87024808,10.897,3.095,310.8771490680094
NLA06608-0361,45284864.5161133,371495.230440558,15.573,2.754,557.5819778011153
NLA06608-1001,110899.995239258,2039.61687637041,1.728,3.649,84.6283787141976
NLA06608-0025,114811.553222656,1982.77234212606,1.651,2.615,111.93706482415573
NLA06608-0831,1838848.73742676,12004.0623896672,2.497,1.946,349.61730811503827
NLA06608-0002,144381.196044922,1743.51335124231,1.294,1.393,165.43278604010524
NLA06608-0297,40366.8793945313,841.990764238193,1.182,1.888,76.57811957990228
NLA06608-0319,1007270.09094238,15697.4448504557,4.412,3.097,149.9945676144357
NLA06608-0253,76600.7795410156,1256.20571744266,1.28,2.432,103.98763011983019
NLA06608-0594,60287.6085205078,1202.82178826523,1.382,2.63,72.33729408550465
NLA06608-0223,275772.20715332,4233.27194937199,2.274,1.731,132.90137223963046
NLA06608-1839,947389.692016602,4473.98108664453,1.297,2.157,326.7341300692932
NLA06608-FL:18261987,3712915.70300293,8857.61850918686,1.297,1.862,800.8573733170407
NLA06608-FL:10789557,66924779.8999023,120217.418705491,4.145,1.354,2096.5491529458222
NLA06608-2629,35655649.9557495,34090.7814504586,1.611,1.409,2781.9210936281993
NLA06608-1733,63488787.3569946,138983.960443686,4.921,2.567,1748.55495319734
NLA06608-0709,395187.677246094,2484.15036553744,1.115,1.609,266.88791933711207
NLA06608-2117,124083265.32196,58451.6806797753,1.48,1.001,4744.4329362737035
NLA06608-1861,70449406.5167236,63590.0378736135,2.137,3.159,2105.3183475935757
NLA06608-1569,13957802.9991455,16224.6585920284,1.225,1.392,1400.3867640069936
NLA06608-3169,1674896102.29602,310446.462763746,2.14,1.011,18009.64982447284
NLA06608-0609,3394371.12316895,7537.30709393152,1.154,1.601,683.9234615040762
NLA06608-0161,10131475.7659302,24579.4331023289,2.178,3.066,815.2189811443241
NLA06608-1185,2768085.73980713,14517.9569062408,2.462,4.505,346.33423953446504
NLA06608-1482,872572.284179688,7399.60763726904,2.235,2.251,224.390508163296
NLA06608-0458,1280578.09924316,8443.8955964577,2.105,2.512,279.41286401440453
NLA06608-2074,33604245.2984009,133259.067507628,6.485,3.354,786.1635545703451
NLA06608-0207,73930.8103027344,1164.49358170433,1.208,1.31,121.97738846159619
NLA06608-1039,168007.948120117,3256.66875454742,2.241,1.008,106.2937273551433
NLA06608-0815,322687.961791992,4836.58193954235,2.402,3.181,122.62178580248843
NLA06608-0618,7447109.80737305,44660.7353268552,4.617,3.458,538.2833301792
NLA06608-1711,103589.309936523,1654.02264249773,1.45,2.051,107.12267900062692
NLA06608-2955,103607241.641418,688158.507665333,19.072,4.589,659.2415635219136
NLA06608-1871,224206.216674805,4766.49870519753,2.84,3.626,134.03807529028302
NLA06608-2091,53257197.5040283,532024.574555897,20.565,2.847,476.0411101391961
NLA06608-0651,3941978.00933838,32113.4059878295,4.563,2.602,310.99433454062205
NLA06608-0283,47314736.7493286,698108.832759167,28.63,2.122,298.3001105178899
NLA06608-0459,729503.673950195,11872.2997608629,3.921,1.291,150.3485788598035
NLA06608-0843,427394.509643555,5124.59466831166,2.211,2.17,167.12832979535528
NLA06608-2187,22526471.4821777,226044.133235151,13.435,1.651,264.26097054156395
NLA06608-2010,307481.493103027,3148.02320177978,1.601,2.619,177.82929255965684
NLA06608-0665,597175.809082031,6997.61452400789,2.554,3.457,203.0125843917361
NLA06608-1087,43931.8088378906,845.93386425404,1.139,1.18,91.87912949687468
NLA06608-1469,50110.8823242188,2164.18235562265,2.727,3.947,32.84702125576837
NLA06608-0530,97413.1376953125,2077.28328417807,1.878,3.075,92.78021524796499
NLA06608-0069,244705.026672363,2398.91616957548,1.368,2.241,173.93576378276728
NLA06608-1349,391527.330383301,2487.06486282831,1.121,1.344,247.9767776732539
NLA06608-0325,628038.315429688,4212.1734549338,1.499,1.445,266.1051408794693
NLA06608-1413,16313454.1704102,21376.9983327354,1.493,1.913,1407.4622775496011
NLA06608-0453,7430730.16235352,10626.5920717099,1.1,1.136,1284.5810079411274
NLA06608-FL:16674741,77703.3669433594,1008.81657683229,1.021,1.254,138.39035312024592
NLA06608-2565,638363.345214844,3142.08111608593,1.109,1.487,341.71153625270483
NLA06608-2593,2898132.53643799,7515.93999615449,1.245,1.524,673.4277383465704
NLA06608-0865,97157.6303100586,1225.59769508733,1.109,1.025,142.409341290358
NLA06608-1825,1662937.84680176,5992.03792922827,1.311,1.158,541.8642267872334
NLA06608-2657,300348.281311035,2766.65538342975,1.424,1.852,216.97319252665068
NLA06608-FL:99344895,282499.264282227,2559.86106750509,1.359,1.162,200.98272843254006
NLA06608-FL:99324403,86646.6862792969,1128.87273290886,1.082,1.251,138.46151635173106
NLA06608-2154,230024.290893555,2495.13401925524,1.468,1.859,165.95770065050317
NLA06608-1114,255655.856994629,4692.36578172738,2.618,1.353,101.242088355894
NLA06608-0986,820564.462646484,6744.62667048895,2.1,1.866,223.01373545158793
NLA06608-0089,8792641.07019043,86855.6286583455,8.263,6.838,245.73649956994348
NLA06608-0203,4719935.14123535,77082.417988627,10.009,1.975,258.35587053755125
NLA06608-0591,36473208.8140869,263968.504661602,12.33,1.719,610.1871507278482
NLA06608-0921,6675551.70654297,65268.2366406555,7.126,1.059,252.75322417413076
NLA06608-1241,2805817.18432617,43254.4239651624,7.284,2.234,245.17298250542578
NLA06608-1323,23213780.1112671,143799.84962624,8.419,3.211,537.6281885117498
NLA06608-2831,113843399.732422,509023.213285086,13.458,1.879,1491.7530027450216
NLA06608-1018,420610.301208496,3172.93266881832,1.38,2.108,201.10938991867957
NLA06608-1347,398867.822387695,3563.2783007007,1.592,2.149,240.870900238859
NLA06608-1758,777038.1328125,5951.93516937568,1.905,5.081,200.9967238238713
NLA06608-0734,692783.741333008,4893.055070963,1.658,4.039,225.24679464908382
NLA06608-1654,357000.893920898,3766.22975234917,1.778,1.642,206.0588173023991
NLA06608-WI:Sy,60497.8865966797,1169.83917524644,1.342,1.828,109.18431434715723
NLA06608-0286,556242.76940918,4034.21779418292,1.526,1.63,255.60999769292127
NLA06608-1998,525906.119506836,5017.7371256667,1.952,1.933,175.1265167765631
NLA06608-1910,317282.769165039,3098.8813370214302,1.552,2.167,229.29852089833656
NLA06608-0542,46124.3277587891,859.593786928621,1.129,1.992,87.83997126625393
NLA06608-0630,206545.880126953,2968.00198450312,1.842,1.91,128.30140775483733
NLA06608-1206,118227.832519531,1343.36293996696,1.102,1.235,160.78578500537884
NLA06608-0467,1835185.92651367,10437.1608775484,2.173,2.763,309.3250437842855
NLA06608-0291,31048666.4903564,43790.0871097311,2.217,2.648,1406.8093670263627
NLA06608-0115,67371.1608886719,987.715291141823,1.073,1.041,130.39517370787877
NLA06608-1059,539886115.098511,167171.201650157,2.03,2.72,7698.199353076708
NLA06608-1707,956695.002197266,6502.33895784458,1.875,2.981,300.6331438102831
NLA06608-1579,5474601.61035156,29704.9072863973,3.581,2.998,547.3082645004466
NLA06608-1131,2407807.79748535,9074.95600910467,1.65,1.852,552.0696891097424
NLA06608-0811,70923.5958251953,1273.34435499011,1.349,1.53,104.33504829429354
NLA06608-IN:646,374815.39440918,3447.47015619186,1.588,1.46,189.42295594860377
NLA06608-3035,262720.208740234,2071.81648457724,1.14,1.246,233.77184211465698
NLA06608-0987,142894.975463867,1820.5314334071,1.359,1.763,115.30064355125474
NLA06608-0043,242471.618774414,2957.43361871022,1.694,1.051,141.62305141354886
NLA06608-2267,315038.752075195,2664.67039100625,1.339,2.616,179.27407439266912
NLA06608-1243,862795.833984375,9597.85341686147,2.915,2.451,201.40790858837107
NLA06608-0299,375227.432739258,4226.68747866352,1.946,1.738,144.96527765543868
NLA06608-0219,470075.111450195,3535.50264021624,1.455,2.112,227.05106013077864
NLA06608-0491,531358.392700195,4372.89097339574,1.692,1.209,224.13425114184412
NLA06608-2523,259464.911376953,3367.29637765043,1.865,1.161,148.48011389423056
NLA06608-1387,1318143.92333984,4469.19018458056,1.098,1.336,549.2195960812164
NLA06608-1515,380114.022949219,2316.00435690261,1.06,1.126,306.59475497306806
NLA06608-1771,1090729.77282715,7760.96016358484,2.096,1.062,250.35557561824038
NLA06608-0619,595945.851806641,3907.05904035312,1.428,2.239,278.3672003704493
NLA06608-1679,408163.384765625,3300.38330867721,1.457,1.604,267.4625160952512
NLA06608-1130,1775014.58032227,14544.3815694269,3.08,3.481,327.57410774604875
NLA06608-1370,153344.680419922,1445.0046100584,1.041,1.305,186.52440366930983
NLA06608-0874,230272.866210938,2657.52824450171,1.562,1.587,154.1477399775646
NLA06608-1450,886469.583007813,4378.98758252047,1.312,1.537,305.3719313992872
NLA06608-1690,125690.616455078,1559.14901811656,1.241,1.085,135.68562156823126
NLA06608-1434,1844345.72009277,6069.71327160545,1.261,1.801,489.6697523390075
NLA06608-1334,13962102.5861816,40819.8978752193,3.082,1.987,913.5432299519304
NLA06608-0330,1151075.02734375,19500.2003792796,5.127,1.125,174.99446071664968
NLA06608-1162,1055830.86499023,7786.96033576286,2.138,2.594,275.7929442629468
NLA06608-0502,303354.288574219,2963.15577641137,1.518,1.902,174.64088320558366
NLA06608-1014,1200881.42626953,7283.30933269919,1.875,3.436,292.98627080938104
NLA06608-1802,1918752.29833984,10502.3635066483,2.139,1.367,463.93248829906355
NLA06608-1034,112224.046386719,1454.30938422791,1.225,1.405,153.7910551208648
NLA06608-1782,637846.816162109,4692.23227937024,1.657,1.16,247.20617830935151
NLA06608-1487,3849122.59594727,17219.1195164714,2.476,2.543,391.8680768710044
NLA06608-0463,2727512.32885742,17457.2195474877,2.982,3.089,286.76810819862294
NLA06608-1167,2328622.50939941,9266.72133209066,1.713,3.332,358.3350797831164
NLA06608-0303,807190.548339844,11278.5172718676,3.541,1.334,127.85151018219601
NLA06608-0367,5683462.51147461,30564.7014817399,3.617,2.453,589.9729179698646
NLA06608-1391,1379708.87792969,8295.20365552516,1.992,2.119,376.3819151468546
NLA06608-0623,828368.28125,9607.74228579668,2.978,2.115,169.0480450871851
NLA06608-0021,42269251.8647461,56149.3976641287,2.436,6.242,1157.0597137043646
NLA06608-1045,45649101.9523926,91329.4255414201,3.813,4.978,910.6567212642171
NLA06608-1365,879095.624755859,5920.77248370423,1.781,3.328,297.60575097163854
NLA06608-0341,207004560.219482,108340.170322186,2.124,3.362,4045.0041260253256
NLA06608-0993,602346.442382813,3982.52412607039,1.448,2.567,212.76093420803704
NLA06608-0890,592066.821166992,5673.4886505162,2.08,4.303,188.48256303198255
NLA06608-1274,537635.974853516,3862.51087537012,1.486,1.871,276.326789736447
NLA06608-0318,326481.857421875,3614.69272369893,1.785,2.051,172.33788803895558
NLA06608-ELS:2B2-008,62328.4134521484,993.699548629739,1.123,1.326,106.28524101255003
NLA06608-1742,495593.464477539,4701.19513985518,1.884,2.146,231.31171951170555
NLA06608-R5:KATHRYN,650473.850219727,5505.4008287539,1.926,1.775,223.34081763062088
NLA06608-1398,362311.757568359,2615.82850160374,1.226,2.646,200.80895542346002
NLA06608-1242,211937.43347168,3207.15650734192,1.965,2.005,126.73291569451946
NLA06608-0627,834867.672485352,5191.83766942101,1.603,1.355,317.1487715626869
NLA06608-2078,433896.433959961,4306.96434827432,1.844,2.664,179.8127731153203
NLA06608-ELS:2C2-048,62930.505859375,1078.24419076864,1.213,1.228,106.79307552150345
NLA06608-1115,376378.307495117,3782.10459183178,1.739,2.222,195.9019233711864
NLA06608-1003,817377.876831055,3690.17539754366,1.151,1.108,383.3475313738161
NLA06608-0555,117962.215576172,1583.02325920741,1.3,3.068,113.71853912735202
NLA06608-0107,124207.979492188,1435.69391645855,1.149,1.554,162.66447477190113
NLA06608-2155,530292.117675781,3691.80514531548,1.43,1.881,267.54816130360274
NLA06608-0875,457885.820800781,2565.68393350761,1.07,1.437,302.0058123454423
NLA06608-1643,160217.760864258,1940.9009935041,1.368,2.138,139.47965773066255
NLA06608-0234,205902.717407227,1989.70421916826,1.237,1.543,175.06855082694696
NLA06608-1258,300214.860595703,2523.1434876405,1.299,2.004,213.84942460807466
NLA06608-0170,509227.723754883,3213.81120256953,1.27,1.222,333.89305342885956
NLA06608-2378,130824.227050781,1844.71648891601,1.439,2.747,119.60970939519639
NLA06608-1706,41956.3863525391,1139.7496973187,1.57,1.551,57.28629544744417
NLA06608-0426,1599851.11157227,8608.53629520888,1.92,1.345,425.7020782311708
NLA06608-0010,300372.876953125,2423.46965371376,1.247,1.28,223.37056498161405
NLA06608-MI:7007,99613.3929443359,1460.28156813186,1.305,2.473,111.2017605015553
NLA06608-R5:OTTAWA,245133.432373047,2921.63216807217,1.665,2.35,190.46195813126585
NLA06608-1835,101905.465454102,1275.58147388676,1.127,1.605,136.863189538652
NLA06608-0974,939145.557495117,6097.44117146736,1.775,1.546,348.9393497113234
NLA06608-0363,2945937.82727051,21879.2027305955,3.596,3.031,400.1550541396856
NLA06608-0399,187308.077514648,3199.26514493907,2.085,1.341,117.45710797230038
NLA06608-1626,2392613.93505859,18777.3859543967,3.424,2.461,397.54695292594585
NLA06608-0938,18996334.7375488,49510.6296324377,3.204,1.681,1297.1834226610683
NLA06608-0731,374469.912109375,7475.33109848654,3.446,2.441,203.33821283998267
NLA06608-0533,1680575.2644043,9690.31447960797,2.109,1.166,365.58682431634094
NLA06608-0753,463642.627685547,5088.61875784209,2.108,1.913,223.71278769337266
NLA06608-1789,40898.13671875,779.982926958093,1.088,1.047,96.59065356692098
NLA06608-R34,189298.412597656,2224.58478273183,1.442,2.193,152.23045437409087
NLA06608-0765,181703.168212891,3573.71417441762,2.365,4.863,101.7350499070523
NLA06608-0509,4121241.99047852,35301.1611736608,4.905,2.057,304.7528390330661
NLA06608-2114,127526.57421875,1873.35872081437,1.48,2.824,120.84946061836763
NLA06608-1346,608871.502441406,4001.48877624582,1.447,2.293,299.91595195055714
NLA06608-0111,10646467.027832,64755.8927804851,5.599,2.551,652.204168150253
NLA06608-0189,143970.560546875,2866.74961710583,2.131,4.052,75.81151449838558
NLA06608-0445,430431.136230469,6510.7797604838,2.799,3.045,143.1304185608325
