stat,log_minimum,count,in_model_fitting,minimum,int,slope,facet_label,pred_count
area,7.061224489795919,736,TRUE,11513953.993264481,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",695.6907570291414
area,7.183673469387755,576,TRUE,15264179.671752334,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",532.9361554316434
area,7.3061224489795915,455,TRUE,20235896.477251556,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",408.2574662614981
area,7.428571428571429,352,TRUE,26826957.95279727,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",312.74695300652445
area,7.551020408163265,274,TRUE,35564803.06223129,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",239.5808152892798
area,7.673469387755102,212,TRUE,47148663.6345739,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",183.53165875121596
area,7.795918367346939,156,TRUE,62505519.25273976,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",140.59502102996612
area,7.918367346938775,115,TRUE,82864277.28546843,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",107.7032707758148
area,8.040816326530612,85,TRUE,109854114.19875573,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",82.50643906754055
area,8.16326530612245,62,TRUE,145634847.75012442,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",63.20432460937276
area,8.285714285714285,43,TRUE,193069772.88832456,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",48.417877373871484
area,8.408163265306122,36,TRUE,255954792.2699533,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",37.09067162539706
area,8.53061224489796,28,TRUE,339322177.189533,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",28.41342901094287
area,8.653061224489797,21,TRUE,449843266.8969453,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",21.76619922964923
area,8.775510204081632,12,TRUE,596362331.6594636,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",16.674067347602517
area,8.89795918367347,8,TRUE,790604321.0907701,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",12.773223243021091
area,9.020408163265305,6,FALSE,1048113134.1546831,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",9.784968994953363
area,9.142857142857142,2,FALSE,1389495494.373136,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",7.49580715928619
area,9.26530612244898,1,FALSE,1842069969.3267164,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",5.742187328154523
area,9.387755102040817,1,FALSE,2442053094.5486546,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",4.398821182421974
area,9.510204081632653,1,FALSE,3237457542.81764,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",3.3697311998253965
volume,3,477661,FALSE,1000,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",3420160.213845485
volume,3.163265306122449,477661,FALSE,1456.3484775012444,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",2570816.3977957964
volume,3.326530612244898,477661,FALSE,2120.9508879201903,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",1932393.9634233592
volume,3.489795918367347,477658,FALSE,3088.8435964774817,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",1452513.852438732
volume,3.6530612244897958,477645,FALSE,4498.432668969444,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",1091804.5344070361
volume,3.816326530612245,477616,FALSE,6551.285568595509,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",820671.7886720087
volume,3.979591836734694,476350,FALSE,9540.954763499944,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",616870.6609080865
volume,4.142857142857142,460894,TRUE,13894.95494373136,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",463680.3866560876
volume,4.3061224489795915,393409,TRUE,20235.896477251554,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",348532.5443311583
volume,4.469387755102041,296447,TRUE,29470.517025518096,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",261979.88518338805
volume,4.63265306122449,212114,TRUE,42919.34260128778,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",196921.23836644963
volume,4.795918367346939,152238,TRUE,62505.51925273976,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",148018.89882740873
volume,4.959183673469388,110558,TRUE,91029.81779915227,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",111260.6978903272
volume,5.122448979591836,81018,TRUE,132571.1365590108,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",83630.82682757037
volume,5.285714285714286,59817,TRUE,193069.77288832495,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",62862.40629873947
volume,5.448979591836734,44451,TRUE,281176.8697974225,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",47251.50133712494
volume,5.612244897959183,33323,TRUE,409491.5062380419,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",35517.32283364863
volume,5.775510204081632,24886,TRUE,596362.3316594637,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",26697.14581700472
volume,5.938775510204081,18666,TRUE,868511.3737513521,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",20067.323151371496
volume,6.1020408163265305,14021,TRUE,1264855.2168552957,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",15083.914258919498
